locus_id,species,assembly,query_symbol,matched_symbol,gene_id,seqid,start,end,resolution_method,alias_note
W004,Oncorhynchus mykiss,GCF_013265735.2,Trim33,LOC110532346,LOC110532346,NC_048573.1,52329120.0,52355630.0,catfish-bridge:RBH,trim33
W004,Oncorhynchus mykiss,GCF_013265735.2,Ksr1,ksr1a,ksr1a,NC_048574.1,39843126.0,39893728.0,source:duplicate-suffix,
W006,Salmo salar,GCF_965601325.1,VTN,vtnb,vtnb,NC_138294.1,38804646.0,38850692.0,source:duplicate-suffix,
W006,Salmo salar,GCF_965601325.1,MRAP2,LOC106605485,LOC106605485,NC_138295.1,67532537.0,67543904.0,catfish-bridge:RBH,mrap2a
W007,Cyprinus carpio,GCF_018340385.1,igf1,igf1,igf1,NC_056600.1,13274615.0,13287917.0,source:exact/synonym,
W007,Cyprinus carpio,GCF_018340385.1,igf3,LOC109068761,LOC109068761,NC_056604.1,7806569.0,7810440.0,catfish-bridge:RBH,igf3
W007,Cyprinus carpio,GCF_018340385.1,grb10,LOC109079331,LOC109079331,NC_056590.1,13985839.0,14039131.0,catfish-bridge:RBH,grb10a
W007,Cyprinus carpio,GCF_018340385.1,igf1r,LOC109104460,LOC109104460,NC_056614.1,16803696.0,16899214.0,catfish-bridge:RBH,igf1ra
W007,Cyprinus carpio,GCF_018340385.1,notch2,notch2,notch2,NC_056579.1,9707199.0,9766289.0,source:exact/synonym,
W007,Cyprinus carpio,GCF_018340385.1,sfrp2,LOC109110030,LOC109110030,NC_056572.1,2798757.0,2802373.0,catfish-bridge:RBH,sfrp2
W007,Cyprinus carpio,GCF_018340385.1,srpk2,srpk2,srpk2,NC_056596.1,20669645.0,20745348.0,source:exact/synonym,
W007,Cyprinus carpio,GCF_018340385.1,fsrp5,,,,,,,
W008,Epinephelus coioides,GCA_051314025.1,npy2r,,,,,,,npy2r
W008,Epinephelus coioides,GCA_051314025.1,adgrb2,ABVT39_025855,ABVT39_025855,CM120194.1,12678918.0,12860928.0,catfish-bridge:RBH,adgrb2
W008,Epinephelus coioides,GCA_051314025.1,csnk2a1,ABVT39_005520,ABVT39_005520,CM120187.1,23227342.0,23234663.0,catfish-bridge:RBH,csnk2a1
W008,Epinephelus coioides,GCA_051314025.1,cers5,ABVT39_023777,ABVT39_023777,CM120179.1,35497536.0,35532293.0,catfish-bridge:RBH,cers5
W008,Epinephelus coioides,GCA_051314025.1,col22a1,ABVT39_007429,ABVT39_007429,CM120194.1,6308088.0,6398758.0,catfish-bridge:RBH,col22a1
W008,Epinephelus coioides,GCA_051314025.1,creb5,,,,,,,
W008,Epinephelus coioides,GCA_051314025.1,dnd1,ABVT39_007056,ABVT39_007056,CM120186.1,40290536.0,40307433.0,catfish-bridge:RBH,dnd1
W008,Epinephelus coioides,GCA_051314025.1,dzank1,ABVT39_012406,ABVT39_012406,CM120181.1,50424104.0,50446470.0,catfish-bridge:RBH,dzank1
W008,Epinephelus coioides,GCA_051314025.1,dnai1,ABVT39_012923,ABVT39_012923,CM120179.1,17536893.0,17561429.0,catfish-bridge:RBH,dnai1.2
W008,Epinephelus coioides,GCA_051314025.1,fat3,ABVT39_006834,ABVT39_006834,CM120183.1,3862352.0,4098953.0,catfish-bridge:RBH,fat3a
W008,Epinephelus coioides,GCA_051314025.1,lrrk2,ABVT39_026594,ABVT39_026594,CM120182.1,43496620.0,43543708.0,catfish-bridge:RBH,lrrk2
W008,Epinephelus coioides,GCA_051314025.1,lrp5,,,,,,,lrp5
W008,Epinephelus coioides,GCA_051314025.1,map3k9,,,,,,,map3k9
W010,Oncorhynchus mykiss,GCF_013265735.2,ETFDH,etfdh,etfdh,NC_050571.1,38921353.0,38940599.0,source:exact/synonym,
W010,Oncorhynchus mykiss,GCF_013265735.2,LAMP2,lamp2,lamp2,NC_050571.1,41142287.0,41154984.0,source:exact/synonym,
W010,Oncorhynchus mykiss,GCF_013265735.2,TNFRSF5A,cd40,cd40,NC_048580.1,43192633.0,43208975.0,source:exact/synonym,
W010,Oncorhynchus mykiss,GCF_013265735.2,cd34a,cd34a,cd34a,NC_048580.1,44560201.0,44596213.0,source:exact/synonym,
W010,Oncorhynchus mykiss,GCF_013265735.2,mcts1,mcts1,mcts1,NC_048578.1,20206253.0,20215508.0,source:exact/synonym,
W010,Oncorhynchus mykiss,GCF_013265735.2,slc26a9,,,,,,,
W011,Epinephelus lanceolatus,GCF_041903045.1,ABHD17C,abhd17c,abhd17c,NC_135735.1,48724861.0,48772599.0,source:exact/synonym,
W012,Larimichthys crocea,GCF_000972845.2,fgf1,fgf1a,fgf1a,NC_040011.1,37193488.0,37197674.0,source:duplicate-suffix,
W012,Larimichthys crocea,GCF_000972845.2,nr3c1,nr3c1,nr3c1,NC_040011.1,37198010.0,37219046.0,source:exact/synonym,
W012,Larimichthys crocea,GCF_000972845.2,cyp8b1,,,,,,,cyp8b1.1
W012,Larimichthys crocea,GCF_000972845.2,fabp2,fabp2,fabp2,NC_040020.1,2858509.0,2859968.0,source:exact/synonym,
W012,Larimichthys crocea,GCF_000972845.2,cyp2r1,cyp2r1,cyp2r1,NC_040018.1,12214036.0,12218521.0,source:exact/synonym,
W012,Larimichthys crocea,GCF_000972845.2,ppara,pparaa,pparaa,NC_040030.1,12724662.0,12735652.0,source:exact/synonym,
W012,Larimichthys crocea,GCF_000972845.2,col1a1,col1a1a,col1a1a,NC_040022.1,11315394.0,11335074.0,source:duplicate-suffix,
W012,Larimichthys crocea,GCF_000972845.2,col11a2,col11a2,col11a2,NC_040023.1,10607081.0,10649604.0,source:exact/synonym,
W012,Larimichthys crocea,GCF_000972845.2,col18a1,col18a1a,col18a1a,NC_040011.1,5028947.0,5104085.0,source:duplicate-suffix,
W012,Larimichthys crocea,GCF_000972845.2,fgf18,fgf18a,fgf18a,NC_040011.1,35286530.0,35299206.0,source:duplicate-suffix,
W012,Larimichthys crocea,GCF_000972845.2,ccm2l,ccm2l,ccm2l,NC_040025.1,12740186.0,12750725.0,source:exact/synonym,
W012,Larimichthys crocea,GCF_000972845.2,bmp7,bmp7b,bmp7b,NW_020861315.1,802498.0,825275.0,source:duplicate-suffix,
W015,Oreochromis niloticus,GCF_001858045.2,RAB31,rab31,rab31,NC_031982.2,24678299.0,24688415.0,source:exact/synonym,
W015,Oreochromis niloticus,GCF_001858045.2,FSTL3,fstl3,fstl3,NC_031986.2,40774239.0,40778967.0,source:exact/synonym,
W015,Oreochromis niloticus,GCF_001858045.2,NPR1,npr1a,npr1a,NC_031985.2,34473236.0,34512259.0,source:duplicate-suffix,
W015,Oreochromis niloticus,GCF_001858045.2,EXTL3,extl3,extl3,NC_031980.2,14786059.0,14826249.0,source:exact/synonym,
W015,Oreochromis niloticus,GCF_001858045.2,UTP6,utp6,utp6,NC_031971.2,25330780.0,25344892.0,source:exact/synonym,
W016,Cyprinus carpio,GCF_018340385.1,TOX,LOC109059857,LOC109059857,NC_056598.1,13386449.0,13445813.0,catfish-bridge:RBH,tox
W016,Cyprinus carpio,GCF_018340385.1,PLK2,LOC109086785,LOC109086785,NC_056606.1,21436942.0,21441518.0,catfish-bridge:RBH,plk2a
W016,Cyprinus carpio,GCF_018340385.1,CD163,,,,,,,cd63
W017,Epinephelus fuscoguttatus,GCF_011397635.1,bmp2k,bmp2k,bmp2k,NC_064757.1,42118718.0,42186093.0,source:exact/synonym,
W017,Epinephelus fuscoguttatus,GCF_011397635.1,wasf1,wasf1,wasf1,NC_064762.1,16882859.0,16996484.0,source:exact/synonym,
W017,Epinephelus fuscoguttatus,GCF_011397635.1,acyp2,LOC125886197,LOC125886197,NC_064754.1,8252.0,23033.0,catfish-bridge:RBH,acyp2
W018,Larimichthys crocea,GCF_000972845.2,fabp1,,,,,,,fabp1a
W018,Larimichthys crocea,GCF_000972845.2,acrv1,,,,,,,
W018,Larimichthys crocea,GCF_000972845.2,bcor,bcor,bcor,NC_040028.1,19817182.0,19850051.0,source:exact/synonym,
W018,Larimichthys crocea,GCF_000972845.2,mstn,mstnb,mstnb,NC_040011.1,7561850.0,7564691.0,source:duplicate-suffix,
W018,Larimichthys crocea,GCF_000972845.2,bambi,bambia,bambia,NC_040033.1,18303029.0,18306936.0,source:duplicate-suffix,
W018,Larimichthys crocea,GCF_000972845.2,neo1,neo1a,neo1a,NC_040018.1,3635778.0,3795970.0,source:duplicate-suffix,
W019,Oncorhynchus mykiss,GCF_013265735.2,OCRL-1,,,,,,,
W019,Oncorhynchus mykiss,GCF_013265735.2,THBS1,thbs1b,thbs1b,NC_048568.1,38626216.0,38651062.0,source:duplicate-suffix,
W019,Oncorhynchus mykiss,GCF_013265735.2,MAP4,,,,,,,
W019,Oncorhynchus mykiss,GCF_013265735.2,PHGDH,phgdh,phgdh,NC_048586.1,15365708.0,15379144.0,source:exact/synonym,
W019,Oncorhynchus mykiss,GCF_013265735.2,CAV-1,cav1,cav1,NC_048566.1,90453696.0,90463528.0,source:exact/synonym,
W019,Oncorhynchus mykiss,GCF_013265735.2,CCND1,ccnd1,ccnd1,NC_048570.1,57955388.0,57962808.0,source:exact/synonym,
W020,Hypophthalmichthys nobilis,GCF_019924925.1,cc2b,,,,,,,
W020,Hypophthalmichthys nobilis,GCF_019924925.1,prdm1b,prdm1b,prdm1b,NC_067238.1,32514985.0,32528233.0,source:exact/synonym,
W020,Hypophthalmichthys nobilis,GCF_019924925.1,fndc5b,fndc5b,fndc5b,NC_067238.1,22328531.0,22362173.0,source:exact/synonym,
W020,Hypophthalmichthys nobilis,GCF_019924925.1,lbr,lbr,lbr,NC_067239.1,23951176.0,23961692.0,source:exact/synonym,
W020,Hypophthalmichthys nobilis,GCF_019924925.1,bmp8a,bmp8a,bmp8a,NC_067238.1,25444464.0,25455923.0,source:exact/synonym,
W020,Hypophthalmichthys nobilis,GCF_019924925.1,ATP6v1cb,,,,,,,
W020,Hypophthalmichthys nobilis,GCF_019924925.1,ptch1,ptch1,ptch1,NC_067227.1,19861231.0,19926854.0,source:exact/synonym,
W020,Hypophthalmichthys nobilis,GCF_019924925.1,col9a1a,col9a1a,col9a1a,NC_067230.1,12378726.0,12396095.0,source:exact/synonym,
W020,Hypophthalmichthys nobilis,GCF_019924925.1,tgfbr2,tgfbr2a,tgfbr2a,NC_067238.1,18435338.0,18452650.0,source:duplicate-suffix,
W020,Hypophthalmichthys nobilis,GCF_019924925.1,hecw2a,hecw2a,hecw2a,NC_067228.1,12513511.0,12541248.0,source:exact/synonym,
W020,Hypophthalmichthys nobilis,GCF_019924925.1,zbtb42,zbtb42,zbtb42,NC_067236.1,19550057.0,19555133.0,source:exact/synonym,
W020,Hypophthalmichthys nobilis,GCF_019924925.1,sema7a,sema7a,sema7a,NC_067243.1,18426493.0,18442606.0,source:exact/synonym,
W021,Lates calcarifer,GCF_001640805.2,gh1,gh1,gh1,NW_026117230.1,49532.0,51320.0,source:exact/synonym,
W022,Oncorhynchus mykiss,GCF_013265735.2,htr1,,,,,,,
W022,Oncorhynchus mykiss,GCF_013265735.2,gnpat,gnpat,gnpat,NC_048572.1,21961001.0,21970793.0,source:exact/synonym,
W022,Oncorhynchus mykiss,GCF_013265735.2,ephx1,,,,,,,ephx1
W022,Oncorhynchus mykiss,GCF_013265735.2,bcmo1,bco1,bco1,NC_048570.1,66406013.0,66438607.0,alias(zebrafish):exact/synonym,bco1
W022,Oncorhynchus mykiss,GCF_013265735.2,cyp2x,,,,,,,
W023,Oncorhynchus mykiss,GCF_013265735.2,STAT5B,stat5,stat5,NC_048577.1,37293710.0,37395301.0,source:suffix-stripped,
W023,Oncorhynchus mykiss,GCF_013265735.2,STAT3,LOC110538194,LOC110538194,NC_048576.1,70587166.0,70609969.0,catfish-bridge:RBH,stat3
W023,Oncorhynchus mykiss,GCF_013265735.2,CISH,cish,cish,NC_048571.1,43487093.0,43491299.0,source:exact/synonym,
W024,Oreochromis niloticus,GCF_001858045.2,FUT8,fut8b,fut8b,NC_031980.2,14431125.0,14531236.0,source:duplicate-suffix,
W024,Oreochromis niloticus,GCF_001858045.2,SLC4A2,slc4a2b,slc4a2b,NC_031974.2,14649065.0,14696862.0,source:duplicate-suffix,
W024,Oreochromis niloticus,GCF_001858045.2,ADAMTS9,adamts9,adamts9,NC_031970.2,29035658.0,29076260.0,source:exact/synonym,
W024,Oreochromis niloticus,GCF_001858045.2,HEG1,heg1,heg1,NC_031987.2,12570312.0,12582370.0,source:exact/synonym,
W024,Oreochromis niloticus,GCF_001858045.2,COL4A1,col4a1,col4a1,NC_031987.2,20196900.0,20243507.0,source:exact/synonym,
W024,Oreochromis niloticus,GCF_001858045.2,GDF6,gdf6a,gdf6a,NC_031976.2,14186981.0,14197160.0,source:duplicate-suffix,
W024,Oreochromis niloticus,GCF_001858045.2,ASB2,,,,,,,asb2b
W024,Oreochromis niloticus,GCF_001858045.2,NUP107,nup107,nup107,NC_031981.2,19603714.0,19616922.0,source:exact/synonym,
W025,Oreochromis niloticus,GCF_001858045.2,igf1rb,igf1rb,igf1rb,NC_031965.2,33067415.0,33131211.0,source:exact/synonym,
W025,Oreochromis niloticus,GCF_001858045.2,rora,roraa,roraa,NC_031972.2,52393256.0,52582336.0,source:duplicate-suffix,
W025,Oreochromis niloticus,GCF_001858045.2,efna3,efna3a,efna3a,NC_031985.2,17247165.0,17323116.0,source:duplicate-suffix,
W025,Oreochromis niloticus,GCF_001858045.2,aurk,aurka,aurka,NC_031970.2,6629890.0,6637093.0,source:duplicate-suffix,
W025,Oreochromis niloticus,GCF_001858045.2,MAPK,mapk1,mapk1,NC_031977.2,35124616.0,35167762.0,source:duplicate-suffix,
W025,Oreochromis niloticus,GCF_001858045.2,VEGF,,,,,,,vegfaa
W026,Oreochromis niloticus,GCF_001858045.2,ghrh,ghrh,ghrh,NC_031970.2,33693841.0,33697398.0,source:exact/synonym,
W026,Oreochromis niloticus,GCF_001858045.2,eif4e3,LOC100689919,LOC100689919,NC_031970.2,32347985.0,32360353.0,catfish-bridge:RBH,eif4e3
W026,Oreochromis niloticus,GCF_001858045.2,ntrk3a,ntrk3a,ntrk3a,NC_031972.2,40040300.0,40124148.0,source:exact/synonym,
W028,Hypophthalmichthys nobilis,GCF_019924925.1,fndc5b,fndc5b,fndc5b,NC_067238.1,22328531.0,22362173.0,source:exact/synonym,
W030,Leiocassis longirostris,GCF_022655615.1,ky,ky,ky,NC_062521.1,12154687.0,12185514.0,source:exact/synonym,
W030,Leiocassis longirostris,GCF_022655615.1,coma1,,,,,,,
W030,Leiocassis longirostris,GCF_022655615.1,matn1,matn1,matn1,NC_062541.1,11824342.0,11830287.0,source:exact/synonym,
W030,Leiocassis longirostris,GCF_022655615.1,sdc3,sdc3,sdc3,NC_062541.1,11781579.0,11808855.0,source:exact/synonym,
W030,Leiocassis longirostris,GCF_022655615.1,kif3a,kif3a,kif3a,NC_062527.1,16519577.0,16536934.0,source:exact/synonym,
W030,Leiocassis longirostris,GCF_022655615.1,h1b,,,,,,,
W030,Leiocassis longirostris,GCF_022655615.1,rerg,rerg,rerg,NC_062536.1,5989152.0,6034525.0,source:exact/synonym,
W030,Leiocassis longirostris,GCF_022655615.1,enox2,enox2,enox2,NC_062527.1,15970007.0,16218768.0,source:exact/synonym,
W032,Paralichthys olivaceus,GCF_024713975.1,AXDND1,axdnd1,axdnd1,NC_091095.1,7534022.0,7544098.0,source:exact/synonym,
W033,Siniperca chuatsi,GCF_020085105.1,asns,asns,asns,NC_058058.1,25352225.0,25367746.0,source:exact/synonym,
W033,Siniperca chuatsi,GCF_020085105.1,tg,tg,tg,NC_058050.1,878674.0,928477.0,source:exact/synonym,
W033,Siniperca chuatsi,GCF_020085105.1,mkk6,,,,,,,
W033,Siniperca chuatsi,GCF_020085105.1,htra1,htra1b,htra1b,NC_058061.1,2688660.0,2717776.0,source:duplicate-suffix,
W033,Siniperca chuatsi,GCF_020085105.1,rnf213,rnf213a,rnf213a,NC_058062.1,11756693.0,11793928.0,source:duplicate-suffix,
W033,Siniperca chuatsi,GCF_020085105.1,ttn,ttn.2,ttn.2,NC_058053.1,28610609.0,28857108.0,source:duplicate-suffix,
W033,Siniperca chuatsi,GCF_020085105.1,tgfbr2,tgfbr2b,tgfbr2b,NC_058050.1,26728095.0,26770860.0,source:duplicate-suffix,
W033,Siniperca chuatsi,GCF_020085105.1,nck2,LOC122885121,LOC122885121,NC_058053.1,18566888.0,18609701.0,catfish-bridge:RBH,nck2a
W034,Tachysurus fulvidraco,GCF_022655615.1,stat5b,stat5b,stat5b,NC_062525.1,20298621.0,20314934.0,source:exact/synonym,
W034,Tachysurus fulvidraco,GCF_022655615.1,kcnh4,kcnh4a,kcnh4a,NC_062532.1,17853000.0,17906068.0,source:duplicate-suffix,
W034,Tachysurus fulvidraco,GCF_022655615.1,ptrf,cavin1b,cavin1b,NC_062542.1,8008339.0,8019291.0,alias(zebrafish):exact/synonym,cavin1b
W034,Tachysurus fulvidraco,GCF_022655615.1,rab5c,rab5c,rab5c,NC_062532.1,17911672.0,17928730.0,source:exact/synonym,
W034,Tachysurus fulvidraco,GCF_022655615.1,stat3,stat3,stat3,NC_062532.1,17610204.0,17638067.0,source:exact/synonym,
W035,Clarias macrocephalus,GCF_024256425.1,egln2,egln2,egln2,NC_071110.1,12259125.0,12286399.0,source:exact/synonym,
W035,Clarias macrocephalus,GCF_024256425.1,zfyve21,zfyve21,zfyve21,NC_071107.1,32950779.0,32961584.0,source:exact/synonym,
W035,Clarias macrocephalus,GCF_024256425.1,jph3a,jph3a,jph3a,NC_071114.1,26627115.0,26635019.0,source:exact/synonym,
W037,Epinephelus coioides,GCA_051314025.1,mustn1,,,,,,,mustn1b
W037,Epinephelus coioides,GCA_051314025.1,bmp7,ABVT39_013450,ABVT39_013450,CM120184.1,31729165.0,31763115.0,catfish-bridge:RBH,bmp7a
W037,Epinephelus coioides,GCA_051314025.1,sema3a,ABVT39_013864,ABVT39_013864,CM120201.1,14106815.0,14159096.0,catfish-bridge:RBH,sema3aa
W037,Epinephelus coioides,GCA_051314025.1,magi2,,,,,,,magi2a
W037,Epinephelus coioides,GCA_051314025.1,prkcd,,,,,,,prkcda
W037,Epinephelus coioides,GCA_051314025.1,capzb,ABVT39_027618,ABVT39_027618,CM120179.1,25147532.0,25163937.0,catfish-bridge:RBH,capzb
W037,Epinephelus coioides,GCA_051314025.1,twf2,,,,,,,twf2
W037,Epinephelus coioides,GCA_051314025.1,eps8l2,ABVT39_003391,ABVT39_003391,CM120182.1,29532450.0,29563430.0,catfish-bridge:RBH,eps8l2
W040,Channa maculata,GCF_033026475.1,HS6ST1,hs6st1a,hs6st1a,NC_090212.1,14838213.0,14890222.0,source:duplicate-suffix,
W040,Channa maculata,GCF_033026475.1,weight,,,,,,,
W041,Ctenopharyngodon idella,GCF_019924925.1,cers5,cers5,cers5,NC_067229.1,3354344.0,3377039.0,source:exact/synonym,
W041,Ctenopharyngodon idella,GCF_019924925.1,ctnnbip1,ctnnbip1,ctnnbip1,NC_067241.1,19997509.0,20026204.0,source:exact/synonym,
W041,Ctenopharyngodon idella,GCF_019924925.1,smoc2,smoc2,smoc2,NC_067232.1,4389736.0,4424338.0,source:exact/synonym,
W041,Ctenopharyngodon idella,GCF_019924925.1,ano6,ano6,ano6,NC_067223.1,16232147.0,16244877.0,source:exact/synonym,
W041,Ctenopharyngodon idella,GCF_019924925.1,cckrb,,,,,,,
W041,Ctenopharyngodon idella,GCF_019924925.1,pwp1,pwp1,pwp1,NC_067223.1,16245211.0,16251441.0,source:exact/synonym,
W041,Ctenopharyngodon idella,GCF_019924925.1,chrebp,mlxip,mlxip,NC_067224.1,4409341.0,4481198.0,alias(zebrafish):exact/synonym,mlxip
W041,Ctenopharyngodon idella,GCF_019924925.1,lsr,lsr,lsr,NC_067234.1,14508795.0,14521414.0,source:exact/synonym,
W042,Lateolabrax maculatus,GCA_031216445.1,SORCS2,sorcs2,Q5Y98_017247,CM062207.1,16026221.0,16283471.0,source:exact/synonym,
W042,Lateolabrax maculatus,GCA_031216445.1,ZNF436,,,,,,,
W042,Lateolabrax maculatus,GCA_031216445.1,SLC7A8,slc7a8a,Q5Y98_017195,CM062207.1,6679225.0,6700938.0,source:duplicate-suffix,
W043,Lateolabrax maculatus,GCA_031216445.1,c4b,c4b,Q5Y98_007203,CM062199.1,13287095.0,13305521.0,source:exact/synonym,
W043,Lateolabrax maculatus,GCA_031216445.1,fgf4,fgf4,Q5Y98_004253,CM062198.1,3789224.0,3808985.0,source:exact/synonym,
W043,Lateolabrax maculatus,GCA_031216445.1,dnajb9,dnajb9a,Q5Y98_024170,CM062214.1,20556200.0,20558300.0,source:duplicate-suffix,
W043,Lateolabrax maculatus,GCA_031216445.1,SNP-based,,,,,,,
W044,Micropterus salmoides,GCF_014851395.1,igf1,igf1,igf1,NW_024041484.1,20514489.0,20533332.0,source:exact/synonym,
W044,Micropterus salmoides,GCF_014851395.1,myf5,myf5,myf5,NW_024041484.1,19750653.0,19753040.0,source:exact/synonym,
W044,Micropterus salmoides,GCF_014851395.1,myf6,myf6,myf6,NW_024041484.1,19756302.0,19758788.0,source:exact/synonym,
W044,Micropterus salmoides,GCF_014851395.1,igf2r,igf2r,igf2r,NW_024040928.1,24635398.0,24682450.0,source:exact/synonym,
W044,Micropterus salmoides,GCF_014851395.1,cavin4b,cavin4b,cavin4b,NW_024040040.1,54013874.0,54020424.0,source:exact/synonym,
W045,Siniperca chuatsi,GCF_020085105.1,AKT2,akt2,akt2,NC_058048.1,9290864.0,9305438.0,source:exact/synonym,
W045,Siniperca chuatsi,GCF_020085105.1,CCNT2,ccnt2a,ccnt2a,NC_058053.1,7121071.0,7131155.0,source:duplicate-suffix,
W045,Siniperca chuatsi,GCF_020085105.1,EPB41L2,epb41l2,epb41l2,NC_058057.1,11985370.0,12045018.0,source:exact/synonym,
W045,Siniperca chuatsi,GCF_020085105.1,CAMKMT,camkmt,camkmt,NC_058052.1,21171581.0,21288469.0,source:exact/synonym,
W046,Sparus aurata,GCF_900880675.2,ncan,ncanb,ncanb,NC_044197.1,10229736.0,10378493.0,source:duplicate-suffix,
W046,Sparus aurata,GCF_900880675.2,znf292,znf292a,znf292a,NC_044202.1,12836736.0,12850546.0,source:duplicate-suffix,
W046,Sparus aurata,GCF_900880675.2,traf2a,traf2a,traf2a,NC_044191.1,2245976.0,2271945.0,source:exact/synonym,
W046,Sparus aurata,GCF_900880675.2,tnc,tncb,tncb,NC_044191.1,2339021.0,2427195.0,source:duplicate-suffix,
W046,Sparus aurata,GCF_900880675.2,zfr,zfr,zfr,NC_044191.1,5631880.0,5736748.0,source:exact/synonym,
W046,Sparus aurata,GCF_900880675.2,uqcc1,uqcc1,uqcc1,NC_044192.1,1875818.0,1894332.0,source:exact/synonym,
