locus_id,species,assembly,anchor_kind,anchor_label,matched_symbol,resolution_method,src_seqid,src_pos,n_genes,n_orth,n_support,cat_chrom,cat_seqid,rho,proj_start,proj_end,proj_point,span,anchor_ortholog,p_coloc,collinear_frac,conservation_class
S018,Epinephelus tukula,GCF_041903045.1,gene,NTRK2,ntrk2a,source:duplicate-suffix,NC_135742.1,21942948,21,11,8,chr8,NC_069717.1,1.0,23993298,24157376,24073839,164078,ntrk2a,1.366631909552117e-13,1.0,strong
S018,Epinephelus tukula,GCF_041903045.1,gene,CTSL,ctsla,source:duplicate-suffix,NC_135742.1,8496724,21,15,15,chr24,NC_069733.1,0.2142857142857142,8721425,14939822,11271231,6218397,ctsla,5.625146001980318e-29,0.667,moderate
S018,Epinephelus tukula,GCF_041903045.1,gene,OTOF,otofa,source:duplicate-suffix,NC_135746.1,19759480,21,17,10,chr30,NC_069739.1,-0.9878787878787878,10436877,11328269,10925269,891392,,2.625852950332614e-15,0.9,strong
S018,Epinephelus tukula,GCF_041903045.1,gene,nes,nes,source:exact/synonym,NC_135743.1,5118368,21,10,7,chr1,NC_069710.1,1.0,19631510,19790995,19790995,159485,nes,7.601744729503754e-12,1.0,strong
S025,Culter alburnus,GCA_040182925.1,gene,aig1,ABG768_014434,catfish-bridge:RBH,CM079601.1,29640876,21,15,15,chr30,NC_069739.1,-0.4107142857142856,12029294,12380046,12099479,350752,aig1,5.625146001980318e-29,0.667,moderate
S025,Culter alburnus,GCA_040182925.1,gene,cacna1b,ABG768_023021,catfish-bridge:RBH,CM079586.1,36092723,21,19,19,chr24,NC_069733.1,1.0,14174388,14758553,14533559,584165,cacna1ba,1.6475406757077463e-36,1.0,strong
S025,Culter alburnus,GCA_040182925.1,gene,pgm5,ABG768_026559,catfish-bridge:RBH,CM079589.1,22649574,21,14,10,chr8,NC_069717.1,-0.0303030303030303,13632748,16623069,15150717,2990321,,1.400907326632718e-16,0.8,strong
S025,Culter alburnus,GCA_040182925.1,gene,bcr,ABG768_015116,catfish-bridge:RBH,CM079602.1,13074254,21,17,17,chr15,NC_069724.1,-0.1151960784313725,18480375,22254333,22151890,3773958,bcr,9.626867011160682e-33,0.824,strong
S026,Channa maculata,GCF_033026475.1,gene,HS6ST1,hs6st1a,source:duplicate-suffix,NC_090212.1,14864217,21,14,8,chr4,NC_069713.1,-1.0,31095420,31514170,31378873,418750,,2.4015556399957098e-12,1.0,strong
S027,Ctenopharyngodon idella,GCF_019924925.1,gene,UBL5,LOC127518363,catfish-bridge:RBH,NC_067220.1,3580462,21,7,7,chr26,NC_069735.1,0.9642857142857144,18403555,18572244,18503631,168689,ubl5,6.557361194583971e-14,0.857,strong
W001,Salmo salar,GCF_965601325.1,gene,MDH,LOC100194641,catfish-bridge:RBH,NC_138303.1,76251451,21,11,5,chr27,NC_069736.1,-0.6,13924018,14961321,13568465,1037303,,1.6575983688135404e-07,0.6,moderate
W001,Salmo salar,GCF_965601325.1,gene,FRA10AC1,fra10ac1,source:exact/synonym,NC_138318.1,8726293,21,12,9,chr12,NC_069721.1,0.65,6209533,9910958,6222811,3701425,fra10ac1,2.382724713378349e-15,0.889,strong
W001,Salmo salar,GCF_965601325.1,gene,E2F,e2f1,source:duplicate-suffix,NC_138303.1,34461945,21,8,7,chr16,NC_069725.1,-0.25,21442817,23394981,23361901,1952164,e2f1,5.185840376909025e-13,0.857,strong
W002,Salmo salar,GCF_965601325.1,gene,POMT1,pomt1,source:exact/synonym,NC_138310.1,13279418,21,13,4,chr24,NC_069733.1,-1.0,15242420,15393085,15744348,150665,,1.905283352548773e-05,1.0,moderate
W002,Salmo salar,GCF_965601325.1,gene,AGRN,LOC106572186,catfish-bridge:RBH,NC_138305.1,76436896,21,11,3,chr8,NC_069717.1,-1.0,22227251,22902008,21668249,674757,,0.0003414550638431,1.0,weak
W002,Salmo salar,GCF_965601325.1,gene,NOTCH3,LOC106607201,catfish-bridge:RBH,NC_138296.1,39953547,21,10,7,chr23,NC_069732.1,1.0,4845504,5546765,4877110,701261,notch3,7.601744729503754e-12,1.0,strong
W002,Salmo salar,GCF_965601325.1,gene,MYH9,LOC100380669,catfish-bridge:RBH,NC_138296.1,36634807,21,10,10,chr29,NC_069738.1,-0.0181818181818181,3995356,4348923,4316049,353567,myh9b,1.4681007688141322e-19,0.8,strong
W002,Salmo salar,GCF_965601325.1,gene,MYO18AB,LOC106581247,catfish-bridge:RBH,NC_138310.1,70420480,21,7,4,chr14,NC_069723.1,0.1999999999999999,10756447,13081238,10756447,2324791,myo18ab,9.93274100991194e-07,0.75,moderate
W004,Oncorhynchus mykiss,GCF_013265735.2,gene,Sox2,sox2,source:exact/synonym,NC_048569.1,67623313,21,12,5,chr11,NC_069720.1,-1.0,11776287,13268073,11776287,1491786,sox2,2.81067780988277e-07,1.0,moderate
W004,Oncorhynchus mykiss,GCF_013265735.2,gene,Trim33,LOC110532346,catfish-bridge:RBH,NC_048573.1,52342375,21,11,6,chr8,NC_069717.1,1.0,1486776,5928510,5887831,4441734,trim33,2.1888726738508796e-09,1.0,strong
W004,Oncorhynchus mykiss,GCF_013265735.2,gene,Ksr1,ksr1a,source:duplicate-suffix,NC_048574.1,39868427,21,10,6,chr17,NC_069726.1,1.0,3416013,4161211,3806461,745198,,1.0062142903441982e-09,1.0,strong
W006,Salmo salar,GCF_965601325.1,gene,VTN,vtnb,source:duplicate-suffix,NC_138294.1,38827669,21,15,12,chr15,NC_069724.1,-0.7832167832167832,3000831,9198205,3077352,6197374,vtnb,1.10227651958724e-20,0.75,strong
W006,Salmo salar,GCF_965601325.1,gene,MRAP2,LOC106605485,catfish-bridge:RBH,NC_138295.1,67538220,21,10,4,chr1,NC_069710.1,-1.0,16101804,16600464,16775524,498660,,5.774805778411311e-06,1.0,moderate
W007,Cyprinus carpio,GCF_018340385.1,gene,igf1,igf1,source:exact/synonym,NC_056600.1,13281266,21,15,13,chr18,NC_069727.1,0.9945054945054944,2890109,3569837,3412760,679728,igf1,3.367878148003425e-23,0.923,strong
W007,Cyprinus carpio,GCF_018340385.1,gene,igf3,LOC109068761,catfish-bridge:RBH,NC_056604.1,7808504,21,12,12,chr8,NC_069717.1,0.9300699300699302,604527,1530501,941690,925974,igf3,2.512505605255551e-23,0.75,strong
W007,Cyprinus carpio,GCF_018340385.1,gene,grb10,LOC109079331,catfish-bridge:RBH,NC_056590.1,14012485,21,12,6,chr23,NC_069732.1,1.0,7636383,7897050,8030632,260667,,4.328715131661861e-09,1.0,strong
W007,Cyprinus carpio,GCF_018340385.1,gene,igf1r,LOC109104460,catfish-bridge:RBH,NC_056614.1,16851455,21,15,15,chr6,NC_069715.1,-1.0,14407919,14834053,14661976,426134,igf1ra,5.625146001980318e-29,1.0,strong
W007,Cyprinus carpio,GCF_018340385.1,gene,notch2,notch2,source:exact/synonym,NC_056579.1,9736744,21,8,8,chr8,NC_069717.1,1.0,2403747,3073362,2717118,669615,notch2,8.578368394021649e-16,1.0,strong
W007,Cyprinus carpio,GCF_018340385.1,gene,sfrp2,LOC109110030,catfish-bridge:RBH,NC_056572.1,2800565,21,10,6,chr28,NC_069737.1,1.0,38664,359007,38664,320343,sfrp2,1.0062142903441982e-09,1.0,strong
W007,Cyprinus carpio,GCF_018340385.1,gene,srpk2,srpk2,source:exact/synonym,NC_056596.1,20707496,21,11,8,chr9,NC_069718.1,-0.1904761904761905,20226431,21119639,20489267,893208,,1.366631909552117e-13,0.625,moderate
W008,Epinephelus coioides,GCA_051314025.1,gene,adgrb2,ABVT39_025855,catfish-bridge:RBH,CM120194.1,12769923,21,13,7,chr23,NC_069732.1,-0.8571428571428573,10490343,11309522,10748923,819179,,1.0501723997700504e-10,0.714,strong
W008,Epinephelus coioides,GCA_051314025.1,gene,csnk2a1,ABVT39_005520,catfish-bridge:RBH,CM120187.1,23231002,21,11,4,chr1,NC_069710.1,-0.3999999999999999,20298848,26654255,20298848,6355407,csnk2a1,8.979974887857002e-06,0.75,moderate
W008,Epinephelus coioides,GCA_051314025.1,gene,cers5,ABVT39_023777,catfish-bridge:RBH,CM120179.1,35514914,21,15,9,chr20,NC_069729.1,1.0,14070847,14560709,14534988,489862,cers5,5.2315671400590404e-14,1.0,strong
W008,Epinephelus coioides,GCA_051314025.1,gene,col22a1,ABVT39_007429,catfish-bridge:RBH,CM120194.1,6353423,21,9,6,chr9,NC_069718.1,1.0,4454095,5057966,4775649,603871,col22a1,4.070467629753816e-10,1.0,strong
W008,Epinephelus coioides,GCA_051314025.1,gene,dnd1,ABVT39_007056,catfish-bridge:RBH,CM120186.1,40298984,21,10,4,chr7,NC_069716.1,-0.7999999999999999,4343488,12174387,5484027,7830899,,5.774805778411311e-06,0.75,moderate
W008,Epinephelus coioides,GCA_051314025.1,gene,dzank1,ABVT39_012406,catfish-bridge:RBH,CM120181.1,50435287,21,13,6,chr25,NC_069734.1,0.5428571428571429,15887788,16238906,15896318,351118,dzank1,7.949027610248881e-09,0.5,moderate
W008,Epinephelus coioides,GCA_051314025.1,gene,dnai1,ABVT39_012923,catfish-bridge:RBH,CM120179.1,17549161,21,10,7,chr15,NC_069724.1,-0.25,20660631,21502953,21502953,842322,dnai1.2,7.601744729503754e-12,0.857,strong
W008,Epinephelus coioides,GCA_051314025.1,gene,fat3,ABVT39_006834,catfish-bridge:RBH,CM120183.1,3980652,21,10,7,chr14,NC_069723.1,0.3928571428571429,10037986,13006889,10881935,2968903,,7.601744729503754e-12,0.571,moderate
W008,Epinephelus coioides,GCA_051314025.1,gene,lrrk2,ABVT39_026594,catfish-bridge:RBH,CM120182.1,43520164,21,13,7,chr6,NC_069715.1,0.25,11998887,12363216,12162683,364329,,1.0501723997700504e-10,0.857,strong
W010,Oncorhynchus mykiss,GCF_013265735.2,gene,ETFDH,etfdh,source:exact/synonym,NC_050571.1,38930976,21,11,11,chr7,NC_069716.1,0.990909090909091,1262956,5468372,4745626,4205416,etfdh,1.9205758018691918e-21,0.909,strong
W010,Oncorhynchus mykiss,GCF_013265735.2,gene,LAMP2,lamp2,source:exact/synonym,NC_050571.1,41148635,21,16,16,chr7,NC_069716.1,0.5676470588235295,15043578,16103426,15680806,1059848,lamp2,7.358840430354957e-31,0.562,moderate
W010,Oncorhynchus mykiss,GCF_013265735.2,gene,TNFRSF5A,cd40,source:exact/synonym,NC_048580.1,43200804,21,8,8,chr16,NC_069725.1,1.0,18142116,20100584,19097530,1958468,,8.578368394021649e-16,1.0,strong
W010,Oncorhynchus mykiss,GCF_013265735.2,gene,cd34a,cd34a,source:exact/synonym,NC_048580.1,44578207,21,10,10,chr16,NC_069725.1,-0.9636363636363636,17020204,21183560,18408041,4163356,,1.4681007688141322e-19,0.9,strong
W010,Oncorhynchus mykiss,GCF_013265735.2,gene,mcts1,mcts1,source:exact/synonym,NC_048578.1,20210880,21,9,8,chr7,NC_069716.1,0.9761904761904764,15616526,15747727,15660096,131201,mcts1,7.630753484301404e-15,0.875,strong
W011,Epinephelus lanceolatus,GCF_041903045.1,gene,ABHD17C,abhd17c,source:exact/synonym,NC_135735.1,48748730,21,16,9,chr11,NC_069720.1,0.0499999999999999,9393031,10212712,9595220,819681,abhd17c,1.18171798469816e-13,0.778,strong
W012,Larimichthys crocea,GCF_000972845.2,gene,fgf1,fgf1a,source:duplicate-suffix,NC_040011.1,37195581,21,19,12,chr9,NC_069718.1,0.5804195804195805,8173926,9923842,9896304,1749916,fgf1a,1.162807614155725e-18,0.583,moderate
W012,Larimichthys crocea,GCF_000972845.2,gene,nr3c1,nr3c1,source:exact/synonym,NC_040011.1,37208528,21,19,11,chr9,NC_069718.1,0.4818181818181818,8173926,9923842,9868246,1749916,nr3c1,1.3180944592060843e-16,0.636,moderate
W012,Larimichthys crocea,GCF_000972845.2,gene,fabp2,fabp2,source:exact/synonym,NC_040020.1,2859238,21,16,7,chr28,NC_069737.1,-0.25,227624,552691,301050,325067,fabp2,6.763772994549771e-10,0.857,strong
W012,Larimichthys crocea,GCF_000972845.2,gene,cyp2r1,cyp2r1,source:exact/synonym,NC_040018.1,12216278,21,19,16,chr11,NC_069720.1,-0.3529411764705882,49297,1818714,56204,1769417,LOC113536444,6.8705661178028585e-28,0.688,moderate
W012,Larimichthys crocea,GCF_000972845.2,gene,ppara,pparaa,source:exact/synonym,NC_040030.1,12730157,21,17,16,chr18,NC_069727.1,-0.7294117647058823,14495008,17459839,15516718,2964831,,1.2355998859424853e-29,0.625,moderate
W012,Larimichthys crocea,GCF_000972845.2,gene,col1a1,col1a1a,source:duplicate-suffix,NC_040022.1,11325234,21,8,2,chr27,NC_069736.1,,6734357,13936878,11720717,7202521,,0.0045472294017425,1.0,weak
W012,Larimichthys crocea,GCF_000972845.2,gene,col11a2,col11a2,source:exact/synonym,NC_040023.1,10628342,21,17,6,chr23,NC_069732.1,-1.0,7791053,8026050,8085706,234997,,5.480593325655092e-08,1.0,strong
W012,Larimichthys crocea,GCF_000972845.2,gene,col18a1,col18a1a,source:duplicate-suffix,NC_040011.1,5066516,21,17,11,chr5,NC_069714.1,-0.1727272727272727,22715142,27637554,23733623,4922412,col18a1a,2.2109635350289646e-17,0.545,moderate
W012,Larimichthys crocea,GCF_000972845.2,gene,fgf18,fgf18a,source:duplicate-suffix,NC_040011.1,35292868,21,16,9,chr9,NC_069718.1,-1.0,10864446,11554704,11374929,690258,fgf18a,1.18171798469816e-13,1.0,strong
W012,Larimichthys crocea,GCF_000972845.2,gene,ccm2l,ccm2l,source:exact/synonym,NC_040025.1,12745455,21,14,10,chr16,NC_069725.1,-0.0181818181818181,11678338,13673068,13648364,1994730,ccm2l,1.400907326632718e-16,0.8,strong
W012,Larimichthys crocea,GCF_000972845.2,gene,bmp7,bmp7b,source:duplicate-suffix,NW_020861315.1,813886,21,13,9,chr16,NC_069725.1,0.35,607078,3506618,2227972,2899540,,7.652713387304902e-15,0.667,moderate
W015,Oreochromis niloticus,GCF_001858045.2,gene,RAB31,rab31,source:exact/synonym,NC_031982.2,24683357,21,19,15,chr21,NC_069730.1,-0.932142857142857,13926980,15397507,14672618,1470527,rab31,2.0753050569070653e-25,0.8,strong
W015,Oreochromis niloticus,GCF_001858045.2,gene,FSTL3,fstl3,source:exact/synonym,NC_031986.2,40776603,21,9,8,chr11,NC_069720.1,1.0,16032366,16245655,16111478,213289,fstl3,7.630753484301404e-15,1.0,strong
W015,Oreochromis niloticus,GCF_001858045.2,gene,NPR1,npr1a,source:duplicate-suffix,NC_031985.2,34492747,21,11,10,chr29,NC_069738.1,-0.6,6425781,11217494,6425781,4791713,npr1a,1.595705087676853e-18,0.6,moderate
W015,Oreochromis niloticus,GCF_001858045.2,gene,EXTL3,extl3,source:exact/synonym,NC_031980.2,14806154,21,16,8,chr19,NC_069728.1,1.0,13080127,13738547,13738547,658420,extl3,1.0054630838310446e-11,1.0,strong
W015,Oreochromis niloticus,GCF_001858045.2,gene,UTP6,utp6,source:exact/synonym,NC_031971.2,25337836,21,8,6,chr2,NC_069711.1,-0.3714285714285715,34539518,35481028,34539518,941510,utp6,1.3722020134673659e-10,0.667,moderate
W016,Cyprinus carpio,GCF_018340385.1,gene,TOX,LOC109059857,catfish-bridge:RBH,NC_056598.1,13416131,21,15,10,chr14,NC_069723.1,-1.0,24486292,25958900,24825875,1472608,tox,4.152760090394607e-16,1.0,strong
W016,Cyprinus carpio,GCF_018340385.1,gene,PLK2,LOC109086785,catfish-bridge:RBH,NC_056606.1,21439230,21,9,9,chr17,NC_069726.1,1.0,6248506,7199054,6788722,950548,plk2a,1.1222258789759767e-17,1.0,strong
W017,Epinephelus fuscoguttatus,GCF_011397635.1,gene,bmp2k,bmp2k,source:exact/synonym,NC_064757.1,42152405,21,14,13,chr24,NC_069733.1,-1.0,11956647,12548034,12122589,591387,bmp2k,4.545720361210099e-24,1.0,strong
W017,Epinephelus fuscoguttatus,GCF_011397635.1,gene,wasf1,wasf1,source:exact/synonym,NC_064762.1,16939671,21,18,12,chr30,NC_069739.1,0.8881118881118882,9265263,11480183,9350522,2214920,wasf1,4.336369949999748e-19,0.667,moderate
W017,Epinephelus fuscoguttatus,GCF_011397635.1,gene,acyp2,LOC125886197,catfish-bridge:RBH,NC_064754.1,15642,11,7,5,chr11,NC_069720.1,0.7,5737431,7312745,6128471,1575314,acyp2,7.871865109424955e-09,0.8,moderate
W018,Larimichthys crocea,GCF_000972845.2,gene,bcor,bcor,source:exact/synonym,NC_040028.1,19833616,21,16,7,chr5,NC_069714.1,1.0,8683457,8884313,8677751,200856,,6.763772994549771e-10,1.0,strong
W018,Larimichthys crocea,GCF_000972845.2,gene,mstn,mstnb,source:duplicate-suffix,NC_040011.1,7563270,21,16,9,chr5,NC_069714.1,-0.6333333333333333,27292106,29687897,29400907,2395791,mstnb,1.18171798469816e-13,0.778,strong
W018,Larimichthys crocea,GCF_000972845.2,gene,bambi,bambia,source:duplicate-suffix,NC_040033.1,18304982,21,15,9,chr12,NC_069721.1,1.0,15249573,15697796,15269020,448223,bambia,5.2315671400590404e-14,1.0,strong
W018,Larimichthys crocea,GCF_000972845.2,gene,neo1,neo1a,source:duplicate-suffix,NC_040018.1,3715874,21,16,8,chr11,NC_069720.1,-1.0,4729446,5190766,4819095,461320,neo1a,1.0054630838310446e-11,1.0,strong
W019,Oncorhynchus mykiss,GCF_013265735.2,gene,THBS1,thbs1b,source:duplicate-suffix,NC_048568.1,38638639,21,7,7,chr19,NC_069728.1,0.642857142857143,10798060,18337626,14906511,7539566,,6.557361194583971e-14,0.571,moderate
W019,Oncorhynchus mykiss,GCF_013265735.2,gene,PHGDH,phgdh,source:exact/synonym,NC_048586.1,15372426,21,10,10,chr5,NC_069714.1,0.9878787878787878,17357282,21678399,20422276,4321117,,1.4681007688141322e-19,0.9,strong
W019,Oncorhynchus mykiss,GCF_013265735.2,gene,CAV-1,cav1,source:exact/synonym,NC_048566.1,90458612,21,10,6,chr7,NC_069716.1,-1.0,27572900,30337729,27961038,2764829,cav1,1.0062142903441982e-09,1.0,strong
W019,Oncorhynchus mykiss,GCF_013265735.2,gene,CCND1,ccnd1,source:exact/synonym,NC_048570.1,57959098,21,13,10,chr11,NC_069720.1,-0.9878787878787878,673374,4668220,4510293,3994846,ccnd1,4.0507524966547385e-17,0.9,strong
W020,Hypophthalmichthys nobilis,GCF_019924925.1,gene,prdm1b,prdm1b,source:exact/synonym,NC_067238.1,32521609,21,19,8,chr23,NC_069732.1,-1.0,14807940,14893460,14940265,85520,,5.701472966926293e-11,1.0,strong
W020,Hypophthalmichthys nobilis,GCF_019924925.1,gene,fndc5b,fndc5b,source:exact/synonym,NC_067238.1,22345352,21,20,19,chr29,NC_069738.1,1.0,7133752,8249561,7723719,1115809,fndc5b,3.254130273935032e-35,1.0,strong
W020,Hypophthalmichthys nobilis,GCF_019924925.1,gene,lbr,lbr,source:exact/synonym,NC_067239.1,23956434,21,15,9,chr19,NC_069728.1,-1.0,1471173,2497877,2291066,1026704,lbr,5.2315671400590404e-14,1.0,strong
W020,Hypophthalmichthys nobilis,GCF_019924925.1,gene,bmp8a,bmp8a,source:exact/synonym,NC_067238.1,25450193,21,20,20,chr23,NC_069732.1,0.9984962406015038,10055152,10929656,10232673,874504,bmp8a,2.155319867392645e-38,0.95,strong
W020,Hypophthalmichthys nobilis,GCF_019924925.1,gene,ptch1,ptch1,source:exact/synonym,NC_067227.1,19894042,21,15,11,chr8,NC_069717.1,-1.0,13632748,14000866,13815211,368118,ptch1,2.4980944751773786e-18,1.0,strong
W020,Hypophthalmichthys nobilis,GCF_019924925.1,gene,col9a1a,col9a1a,source:exact/synonym,NC_067230.1,12387410,21,17,12,chr11,NC_069720.1,-1.0,21381820,21622825,21418453,241005,,1.4631184298864478e-19,1.0,strong
W020,Hypophthalmichthys nobilis,GCF_019924925.1,gene,tgfbr2,tgfbr2a,source:duplicate-suffix,NC_067238.1,18443994,21,4,4,chr9,NC_069718.1,-0.7999999999999999,900080,1628171,1619773,728091,,2.9288851793850932e-08,0.75,moderate
W020,Hypophthalmichthys nobilis,GCF_019924925.1,gene,hecw2a,hecw2a,source:exact/synonym,NC_067228.1,12527379,21,16,16,chr5,NC_069714.1,0.3411764705882353,1620426,4213862,3402882,2593436,hecw2a,7.358840430354957e-31,0.875,strong
W020,Hypophthalmichthys nobilis,GCF_019924925.1,gene,zbtb42,zbtb42,source:exact/synonym,NC_067236.1,19552595,21,11,11,chr10,NC_069719.1,-1.0,20108026,20637332,20377830,529306,zbtb42,1.9205758018691918e-21,1.0,strong
W020,Hypophthalmichthys nobilis,GCF_019924925.1,gene,sema7a,sema7a,source:exact/synonym,NC_067243.1,18434549,21,17,16,chr9,NC_069718.1,-0.6470588235294118,16839075,18687676,16839075,1848601,sema7a,1.2355998859424853e-29,0.562,moderate
W021,Lates calcarifer,GCF_001640805.2,gene,gh1,gh1,source:exact/synonym,NW_026117230.1,50426,13,6,4,chr29,NC_069738.1,-0.1999999999999999,4648810,4925386,4925386,276576,gh1,4.3018710905875466e-07,0.75,moderate
W022,Oncorhynchus mykiss,GCF_013265735.2,gene,gnpat,gnpat,source:exact/synonym,NC_048572.1,21965897,21,11,8,chr30,NC_069739.1,-1.0,4087350,4574619,4481050,487269,gnpat,1.366631909552117e-13,1.0,strong
W022,Oncorhynchus mykiss,GCF_013265735.2,gene,bcmo1,bco1,alias(zebrafish):exact/synonym,NC_048570.1,66422310,21,9,9,chr11,NC_069720.1,-0.4166666666666666,3001113,4050256,4021960,1049143,bco1,1.1222258789759767e-17,0.667,moderate
W023,Oncorhynchus mykiss,GCF_013265735.2,gene,STAT5B,stat5,source:suffix-stripped,NC_048577.1,37344505,21,7,7,chr13,NC_069722.1,-0.6071428571428572,4193572,6871306,6046194,2677734,,6.557361194583971e-14,0.571,moderate
W023,Oncorhynchus mykiss,GCF_013265735.2,gene,STAT3,LOC110538194,catfish-bridge:RBH,NC_048576.1,70598567,21,9,9,chr13,NC_069722.1,-0.0666666666666666,4242612,6766808,6766808,2524196,stat3,1.1222258789759767e-17,0.778,strong
W023,Oncorhynchus mykiss,GCF_013265735.2,gene,CISH,cish,source:exact/synonym,NC_048571.1,43489196,21,8,4,chr2,NC_069711.1,1.0,14953745,15706486,15679331,752741,cish,1.965785262026166e-06,1.0,moderate
W024,Oreochromis niloticus,GCF_001858045.2,gene,FUT8,fut8b,source:duplicate-suffix,NC_031980.2,14481180,21,16,12,chr19,NC_069728.1,1.0,12970030,13738547,13438212,768517,,4.355874532182964e-20,1.0,strong
W024,Oreochromis niloticus,GCF_001858045.2,gene,SLC4A2,slc4a2b,source:duplicate-suffix,NC_031974.2,14672963,21,13,7,chr4,NC_069713.1,-0.7500000000000002,22819615,24719075,24535780,1899460,slc4a2a,1.0501723997700504e-10,0.714,strong
W024,Oreochromis niloticus,GCF_001858045.2,gene,ADAMTS9,adamts9,source:exact/synonym,NC_031970.2,29055959,21,14,13,chr20,NC_069729.1,-1.0,2887098,4010632,3809738,1123534,LOC113539463,4.545720361210099e-24,1.0,strong
W024,Oreochromis niloticus,GCF_001858045.2,gene,HEG1,heg1,source:exact/synonym,NC_031987.2,12576341,21,19,9,chr5,NC_069714.1,1.0,27789551,29248223,27456005,1458672,,9.209593346144497e-13,1.0,strong
W024,Oreochromis niloticus,GCF_001858045.2,gene,COL4A1,col4a1,source:exact/synonym,NC_031987.2,20220203,21,17,12,chr5,NC_069714.1,1.0,12447162,14608895,12930724,2161733,col4a1,1.4631184298864478e-19,1.0,strong
W024,Oreochromis niloticus,GCF_001858045.2,gene,GDF6,gdf6a,source:duplicate-suffix,NC_031976.2,14192070,21,15,13,chr1,NC_069710.1,0.5,2801278,3502783,2825976,701505,gdf6a,3.367878148003425e-23,0.538,moderate
W024,Oreochromis niloticus,GCF_001858045.2,gene,NUP107,nup107,source:exact/synonym,NC_031981.2,19610318,21,11,8,chr18,NC_069727.1,-0.7142857142857144,2269766,11506689,2269766,9236923,nup107,1.366631909552117e-13,0.625,moderate
W025,Oreochromis niloticus,GCF_001858045.2,gene,igf1rb,igf1rb,source:exact/synonym,NC_031965.2,33099313,21,17,8,chr11,NC_069720.1,1.0,7690867,8202341,7683297,511474,,1.8771492928204855e-11,1.0,strong
W025,Oreochromis niloticus,GCF_001858045.2,gene,rora,roraa,source:duplicate-suffix,NC_031972.2,52487796,21,17,17,chr9,NC_069718.1,1.0,17145147,18022613,17519753,877466,roraa,9.626867011160682e-33,1.0,strong
