rank,symbol,gene_id,src_start,src_end,src_strand,cat_gene,cat_seqid,cat_pos,cat_symbol,locus_id,species,assembly,anchor_label,anchor_kind
10,si:ch73-217n20.1,si:ch73-217n20.1,34898473,34906521,+,si:ch73-217n20.1,NC_069725.1,23020001.0,si:ch73-217n20.1,S001,Salmo salar,GCF_965601325.1,E2F,gene
-10,tmem175,tmem175,41117580,41130536,-,tmem175,NC_069733.1,12548034.0,tmem175,S008,Epinephelus fuscoguttatus,GCF_011397635.1,bmp2k,gene
-9,LOC125890122,LOC125890122,41329125,41333856,+,,,,,S008,Epinephelus fuscoguttatus,GCF_011397635.1,bmp2k,gene
-8,rasgef1ba,rasgef1ba,41341361,41381428,+,rasgef1ba,NC_069733.1,12501715.0,rasgef1ba,S008,Epinephelus fuscoguttatus,GCF_011397635.1,bmp2k,gene
-7,prkg2,prkg2,41399421,41454145,+,prkg2,NC_069733.1,12455799.0,prkg2,S008,Epinephelus fuscoguttatus,GCF_011397635.1,bmp2k,gene
-6,bmp3,bmp3,41455984,41470475,-,bmp3,NC_069733.1,12443346.0,bmp3,S008,Epinephelus fuscoguttatus,GCF_011397635.1,bmp2k,gene
-5,cfap299,cfap299,41474133,41603510,-,cfap299,NC_069733.1,12411337.0,cfap299,S008,Epinephelus fuscoguttatus,GCF_011397635.1,bmp2k,gene
-4,fgf5,fgf5,41614583,41638540,-,fgf5,NC_069733.1,12370696.0,fgf5,S008,Epinephelus fuscoguttatus,GCF_011397635.1,bmp2k,gene
-3,prdm8b,prdm8b,41664128,41670605,-,prdm8b,NC_069733.1,12347065.0,prdm8b,S008,Epinephelus fuscoguttatus,GCF_011397635.1,bmp2k,gene
-2,antxr2a,antxr2a,41728026,41847251,+,antxr2a,NC_069733.1,12300491.0,antxr2a,S008,Epinephelus fuscoguttatus,GCF_011397635.1,bmp2k,gene
-1,paqr3a,paqr3a,42095056,42118657,+,paqr3a,NC_069733.1,12149461.0,paqr3a,S008,Epinephelus fuscoguttatus,GCF_011397635.1,bmp2k,gene
0,bmp2k,bmp2k,42118718,42186093,-,bmp2k,NC_069733.1,12122589.0,bmp2k,S008,Epinephelus fuscoguttatus,GCF_011397635.1,bmp2k,gene
1,LOC125889960,LOC125889960,42201311,42225071,+,,,,,S008,Epinephelus fuscoguttatus,GCF_011397635.1,bmp2k,gene
2,LOC125889961,LOC125889961,42216159,42221121,+,,,,,S008,Epinephelus fuscoguttatus,GCF_011397635.1,bmp2k,gene
3,anxa3a,anxa3a,42228982,42244045,-,,,,,S008,Epinephelus fuscoguttatus,GCF_011397635.1,bmp2k,gene
4,fras1,fras1,42245893,42647990,-,fras1,NC_069733.1,12034600.0,fras1,S008,Epinephelus fuscoguttatus,GCF_011397635.1,bmp2k,gene
5,mrpl1,mrpl1,42657876,42673571,-,mrpl1,NC_069733.1,11968543.0,mrpl1,S008,Epinephelus fuscoguttatus,GCF_011397635.1,bmp2k,gene
6,cnot6l,cnot6l,42674131,42703079,+,cnot6l,NC_069733.1,11956647.0,cnot6l,S008,Epinephelus fuscoguttatus,GCF_011397635.1,bmp2k,gene
7,LOC125889644,LOC125889644,42703090,42724557,-,LOC128318081,NC_069713.1,2875451.0,LOC128318081,S008,Epinephelus fuscoguttatus,GCF_011397635.1,bmp2k,gene
8,fam102aa,fam102aa,42729737,42777704,-,,,,,S008,Epinephelus fuscoguttatus,GCF_011397635.1,bmp2k,gene
9,slc25a25a,slc25a25a,42785767,42794047,+,,,,,S008,Epinephelus fuscoguttatus,GCF_011397635.1,bmp2k,gene
10,zdhhc12a,zdhhc12a,42798359,42813547,+,,,,,S008,Epinephelus fuscoguttatus,GCF_011397635.1,bmp2k,gene
-10,irx1b,irx1b,21690534,21693718,-,irx1b,NC_069738.1,7133752.0,irx1b,S009,Hypophthalmichthys nobilis,GCF_019924925.1,fndc5b,gene
-9,irx4b,irx4b,21751213,21755837,+,irx4b,NC_069738.1,7185754.0,irx4b,S009,Hypophthalmichthys nobilis,GCF_019924925.1,fndc5b,gene
-8,ndufs6,ndufs6,21763154,21765597,-,ndufs6,NC_069738.1,7196647.0,ndufs6,S009,Hypophthalmichthys nobilis,GCF_019924925.1,fndc5b,gene
-7,lpcat1,lpcat1,21768456,21798730,+,lpcat1,NC_069738.1,7213640.0,lpcat1,S009,Hypophthalmichthys nobilis,GCF_019924925.1,fndc5b,gene
-6,nrsn1l,nrsn1l,21810138,21817339,-,nrsn1l,NC_069738.1,7230970.0,nrsn1l,S009,Hypophthalmichthys nobilis,GCF_019924925.1,fndc5b,gene
-5,sox4a,sox4a,22018314,22021577,-,sox4a,NC_069738.1,7439578.0,sox4a,S009,Hypophthalmichthys nobilis,GCF_019924925.1,fndc5b,gene
-4,e2f3,e2f3,22265210,22280455,-,e2f3,NC_069738.1,7661939.0,e2f3,S009,Hypophthalmichthys nobilis,GCF_019924925.1,fndc5b,gene
-3,srfbp1,srfbp1,22281095,22286706,-,srfbp1,NC_069738.1,7670846.0,srfbp1,S009,Hypophthalmichthys nobilis,GCF_019924925.1,fndc5b,gene
-2,maco1a,maco1a,22286693,22303953,+,maco1a,NC_069738.1,7680514.0,maco1a,S009,Hypophthalmichthys nobilis,GCF_019924925.1,fndc5b,gene
-1,ldlrap1a,ldlrap1a,22305285,22322117,+,,,,,S009,Hypophthalmichthys nobilis,GCF_019924925.1,fndc5b,gene
0,fndc5b,fndc5b,22328531,22362173,-,fndc5b,NC_069738.1,7723719.0,fndc5b,S009,Hypophthalmichthys nobilis,GCF_019924925.1,fndc5b,gene
1,marcksl1b,marcksl1b,22533668,22536400,+,marcksl1b,NC_069738.1,7892522.0,marcksl1b,S009,Hypophthalmichthys nobilis,GCF_019924925.1,fndc5b,gene
2,hdac1,hdac1,22539036,22546304,+,hdac1,NC_069738.1,7904799.0,hdac1,S009,Hypophthalmichthys nobilis,GCF_019924925.1,fndc5b,gene
3,eif3i,eif3i,22545800,22552856,-,eif3i,NC_069738.1,7916559.0,eif3i,S009,Hypophthalmichthys nobilis,GCF_019924925.1,fndc5b,gene
4,txlna,txlna,22553175,22562490,-,txlna,NC_069738.1,7929269.0,txlna,S009,Hypophthalmichthys nobilis,GCF_019924925.1,fndc5b,gene
5,si:ch73-130a3.4,si:ch73-130a3.4,22562895,22564947,+,LOC113538889,NC_069719.1,15328739.0,LOC113538889,S009,Hypophthalmichthys nobilis,GCF_019924925.1,fndc5b,gene
6,kpna6,kpna6,22567235,22586156,-,kpna6,NC_069738.1,7947782.0,kpna6,S009,Hypophthalmichthys nobilis,GCF_019924925.1,fndc5b,gene
7,khdrbs1b,khdrbs1b,22835950,22846867,-,khdrbs1b,NC_069738.1,8206498.0,khdrbs1b,S009,Hypophthalmichthys nobilis,GCF_019924925.1,fndc5b,gene
8,tspan13b,tspan13b,22859932,22869562,+,tspan13b,NC_069738.1,8231216.0,tspan13b,S009,Hypophthalmichthys nobilis,GCF_019924925.1,fndc5b,gene
9,agr2,agr2,22869921,22872589,-,agr2,NC_069738.1,8239165.0,agr2,S009,Hypophthalmichthys nobilis,GCF_019924925.1,fndc5b,gene
10,ppp1r10,ppp1r10,22876006,22888702,-,ppp1r10,NC_069738.1,8249561.0,ppp1r10,S009,Hypophthalmichthys nobilis,GCF_019924925.1,fndc5b,gene
-10,pawr,pawr,19880805,19948936,+,pawr,NC_069727.1,1244173.0,pawr,S010,Micropterus salmoides,GCF_014851395.1,igf1,gene
-9,syt1a,syt1a,19958896,20152033,+,syt1b,NC_069715.1,30855953.0,syt1b,S010,Micropterus salmoides,GCF_014851395.1,igf1,gene
-8,LOC119918004,LOC119918004,20153999,20160614,+,LOC113531873,NC_069727.1,19122599.0,LOC113531873,S010,Micropterus salmoides,GCF_014851395.1,igf1,gene
-7,LOC119918003,LOC119918003,20160737,20191523,-,ppfibp1a,NC_069727.1,19147086.0,ppfibp1a,S010,Micropterus salmoides,GCF_014851395.1,igf1,gene
-6,syt10,syt10,20254246,20268139,+,syt10,NC_069727.1,19233608.0,syt10,S010,Micropterus salmoides,GCF_014851395.1,igf1,gene
-5,tnnt2c,tnnt2c,20282394,20285898,-,tnnt2c,NC_069727.1,19099463.0,tnnt2c,S010,Micropterus salmoides,GCF_014851395.1,igf1,gene
-4,LOC119917971,LOC119917971,20286994,20291208,+,,,,,S010,Micropterus salmoides,GCF_014851395.1,igf1,gene
-3,cry1a,cry1a,20291393,20304391,-,cry1a,NC_069727.1,19087651.0,cry1a,S010,Micropterus salmoides,GCF_014851395.1,igf1,gene
-2,btbd11a,btbd11a,20307505,20488310,+,btbd11a,NC_069727.1,18973911.0,btbd11a,S010,Micropterus salmoides,GCF_014851395.1,igf1,gene
-1,LOC119918209,LOC119918209,20499714,20507683,+,,,,,S010,Micropterus salmoides,GCF_014851395.1,igf1,gene
0,igf1,igf1,20514489,20533332,+,igf1,NC_069727.1,3412760.0,igf1,S010,Micropterus salmoides,GCF_014851395.1,igf1,gene
1,pmch,pmch,20537770,20540076,+,pmch,NC_069727.1,3434969.0,pmch,S010,Micropterus salmoides,GCF_014851395.1,igf1,gene
2,LOC119918399,LOC119918399,20540102,20555278,-,parpbp,NC_069727.1,3447896.0,parpbp,S010,Micropterus salmoides,GCF_014851395.1,igf1,gene
3,nup37,nup37,20555496,20568495,+,nup37,NC_069727.1,3469911.0,nup37,S010,Micropterus salmoides,GCF_014851395.1,igf1,gene
4,th2,th2,20573248,20579625,-,th2,NC_069727.1,3494833.0,th2,S010,Micropterus salmoides,GCF_014851395.1,igf1,gene
5,pah,pah,20579781,20594556,-,pah,NC_069727.1,3514787.0,pah,S010,Micropterus salmoides,GCF_014851395.1,igf1,gene
6,LOC119917960,LOC119917960,20594651,20671647,+,LOC113532275,NC_069727.1,3569837.0,LOC113532275,S010,Micropterus salmoides,GCF_014851395.1,igf1,gene
7,ascl1a,ascl1a,20675693,20677427,-,ascl1a,NC_069727.1,3532361.0,ascl1a,S010,Micropterus salmoides,GCF_014851395.1,igf1,gene
8,itfg2,itfg2,20681345,20693626,+,itfg2,NC_069718.1,26408280.0,itfg2,S010,Micropterus salmoides,GCF_014851395.1,igf1,gene
9,nrip2,nrip2,20712253,20742100,-,nrip2,NC_069718.1,26439892.0,nrip2,S010,Micropterus salmoides,GCF_014851395.1,igf1,gene
10,klhl42,klhl42,20745966,20750307,-,klhl42,NC_069718.1,26460837.0,klhl42,S010,Micropterus salmoides,GCF_014851395.1,igf1,gene
-10,LOC119918066,LOC119918066,19394072,19396856,+,,,,,S010,Micropterus salmoides,GCF_014851395.1,myf5,gene
-9,LOC119918064,LOC119918064,19397365,19401615,+,,,,,S010,Micropterus salmoides,GCF_014851395.1,myf5,gene
-8,zmp:0000000711,zmp:0000000711,19401302,19427326,-,tulp3,NC_069718.1,25954852.0,tulp3,S010,Micropterus salmoides,GCF_014851395.1,myf5,gene
-7,rhno1,rhno1,19428134,19430218,-,rhno1,NC_069727.1,9484017.0,rhno1,S010,Micropterus salmoides,GCF_014851395.1,myf5,gene
-6,foxm1,foxm1,19430314,19437600,+,foxm1,NC_069727.1,9478531.0,foxm1,S010,Micropterus salmoides,GCF_014851395.1,myf5,gene
-5,si:ch73-352p4.8,si:ch73-352p4.8,19436664,19444666,-,si:ch73-352p4.8,NC_069727.1,9471798.0,si:ch73-352p4.8,S010,Micropterus salmoides,GCF_014851395.1,myf5,gene
-4,LOC119918540,LOC119918540,19485153,19611652,+,,,,,S010,Micropterus salmoides,GCF_014851395.1,myf5,gene
-3,ppfia2,ppfia2,19611521,19663853,+,ppfia2,NC_069727.1,1617224.0,ppfia2,S010,Micropterus salmoides,GCF_014851395.1,myf5,gene
-2,acss3,acss3,19663781,19699711,-,acss3,NC_069727.1,1538071.0,acss3,S010,Micropterus salmoides,GCF_014851395.1,myf5,gene
-1,lin7a,lin7a,19707019,19745574,+,lin7a,NC_069727.1,1496032.0,lin7a,S010,Micropterus salmoides,GCF_014851395.1,myf5,gene
0,myf5,myf5,19750653,19753040,-,myf5,NC_069727.1,1462791.0,myf5,S010,Micropterus salmoides,GCF_014851395.1,myf5,gene
1,myf6,myf6,19756302,19758788,-,myf6,NC_069727.1,1444948.0,myf6,S010,Micropterus salmoides,GCF_014851395.1,myf5,gene
2,rps16,rps16,19791941,19794473,-,rps16,NC_069727.1,1408214.0,rps16,S010,Micropterus salmoides,GCF_014851395.1,myf5,gene
3,ppp1r12a,ppp1r12a,19813128,19869105,+,ppp1r12a,NC_069727.1,1323441.0,ppp1r12a,S010,Micropterus salmoides,GCF_014851395.1,myf5,gene
4,pawr,pawr,19880805,19948936,+,pawr,NC_069727.1,1244173.0,pawr,S010,Micropterus salmoides,GCF_014851395.1,myf5,gene
5,syt1a,syt1a,19958896,20152033,+,syt1b,NC_069715.1,30855953.0,syt1b,S010,Micropterus salmoides,GCF_014851395.1,myf5,gene
6,LOC119918004,LOC119918004,20153999,20160614,+,LOC113531873,NC_069727.1,19122599.0,LOC113531873,S010,Micropterus salmoides,GCF_014851395.1,myf5,gene
7,LOC119918003,LOC119918003,20160737,20191523,-,ppfibp1a,NC_069727.1,19147086.0,ppfibp1a,S010,Micropterus salmoides,GCF_014851395.1,myf5,gene
8,syt10,syt10,20254246,20268139,+,syt10,NC_069727.1,19233608.0,syt10,S010,Micropterus salmoides,GCF_014851395.1,myf5,gene
9,tnnt2c,tnnt2c,20282394,20285898,-,tnnt2c,NC_069727.1,19099463.0,tnnt2c,S010,Micropterus salmoides,GCF_014851395.1,myf5,gene
10,LOC119917971,LOC119917971,20286994,20291208,+,,,,,S010,Micropterus salmoides,GCF_014851395.1,myf5,gene
-10,LOC119918064,LOC119918064,19397365,19401615,+,,,,,S010,Micropterus salmoides,GCF_014851395.1,myf6,gene
-9,zmp:0000000711,zmp:0000000711,19401302,19427326,-,tulp3,NC_069718.1,25954852.0,tulp3,S010,Micropterus salmoides,GCF_014851395.1,myf6,gene
-8,rhno1,rhno1,19428134,19430218,-,rhno1,NC_069727.1,9484017.0,rhno1,S010,Micropterus salmoides,GCF_014851395.1,myf6,gene
-7,foxm1,foxm1,19430314,19437600,+,foxm1,NC_069727.1,9478531.0,foxm1,S010,Micropterus salmoides,GCF_014851395.1,myf6,gene
-6,si:ch73-352p4.8,si:ch73-352p4.8,19436664,19444666,-,si:ch73-352p4.8,NC_069727.1,9471798.0,si:ch73-352p4.8,S010,Micropterus salmoides,GCF_014851395.1,myf6,gene
-5,LOC119918540,LOC119918540,19485153,19611652,+,,,,,S010,Micropterus salmoides,GCF_014851395.1,myf6,gene
-4,ppfia2,ppfia2,19611521,19663853,+,ppfia2,NC_069727.1,1617224.0,ppfia2,S010,Micropterus salmoides,GCF_014851395.1,myf6,gene
-3,acss3,acss3,19663781,19699711,-,acss3,NC_069727.1,1538071.0,acss3,S010,Micropterus salmoides,GCF_014851395.1,myf6,gene
-2,lin7a,lin7a,19707019,19745574,+,lin7a,NC_069727.1,1496032.0,lin7a,S010,Micropterus salmoides,GCF_014851395.1,myf6,gene
-1,myf5,myf5,19750653,19753040,-,myf5,NC_069727.1,1462791.0,myf5,S010,Micropterus salmoides,GCF_014851395.1,myf6,gene
0,myf6,myf6,19756302,19758788,-,myf6,NC_069727.1,1444948.0,myf6,S010,Micropterus salmoides,GCF_014851395.1,myf6,gene
1,rps16,rps16,19791941,19794473,-,rps16,NC_069727.1,1408214.0,rps16,S010,Micropterus salmoides,GCF_014851395.1,myf6,gene
2,ppp1r12a,ppp1r12a,19813128,19869105,+,ppp1r12a,NC_069727.1,1323441.0,ppp1r12a,S010,Micropterus salmoides,GCF_014851395.1,myf6,gene
3,pawr,pawr,19880805,19948936,+,pawr,NC_069727.1,1244173.0,pawr,S010,Micropterus salmoides,GCF_014851395.1,myf6,gene
4,syt1a,syt1a,19958896,20152033,+,syt1b,NC_069715.1,30855953.0,syt1b,S010,Micropterus salmoides,GCF_014851395.1,myf6,gene
5,LOC119918004,LOC119918004,20153999,20160614,+,LOC113531873,NC_069727.1,19122599.0,LOC113531873,S010,Micropterus salmoides,GCF_014851395.1,myf6,gene
6,LOC119918003,LOC119918003,20160737,20191523,-,ppfibp1a,NC_069727.1,19147086.0,ppfibp1a,S010,Micropterus salmoides,GCF_014851395.1,myf6,gene
7,syt10,syt10,20254246,20268139,+,syt10,NC_069727.1,19233608.0,syt10,S010,Micropterus salmoides,GCF_014851395.1,myf6,gene
8,tnnt2c,tnnt2c,20282394,20285898,-,tnnt2c,NC_069727.1,19099463.0,tnnt2c,S010,Micropterus salmoides,GCF_014851395.1,myf6,gene
9,LOC119917971,LOC119917971,20286994,20291208,+,,,,,S010,Micropterus salmoides,GCF_014851395.1,myf6,gene
10,cry1a,cry1a,20291393,20304391,-,cry1a,NC_069727.1,19087651.0,cry1a,S010,Micropterus salmoides,GCF_014851395.1,myf6,gene
-10,Q5Y98_016605,Q5Y98_016605,15913184,15927249,+,kiaa0232,NC_069713.1,2570998.0,kiaa0232,S013,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
-9,tbc1d14,Q5Y98_017046,15928009,15955703,+,LOC113524096,NC_069713.1,2531672.0,LOC113524096,S013,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
-8,ccl36.1,Q5Y98_016621,15961509,15962675,+,LOC128318107,NC_069713.1,2982896.0,LOC128318107,S013,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
-7,Q5Y98_016995,Q5Y98_016995,15963343,15967799,+,,,,,S013,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
-6,Q5Y98_016632,Q5Y98_016632,15976269,15981814,+,ccl32b.3,NC_069731.1,12943681.0,ccl32b.3,S013,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
-5,Q5Y98_017399,Q5Y98_017399,15982464,15990561,+,,,,,S013,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
-4,Q5Y98_017403,Q5Y98_017403,15990587,15994890,+,,,,,S013,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
-3,cfap184,Q5Y98_017401,15995980,15999000,-,,,,,S013,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
-2,tada2b,Q5Y98_017402,15999156,16005509,+,tada2b,NC_069713.1,3248940.0,tada2b,S013,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
-1,grpel1,Q5Y98_017404,16006730,16010831,-,grpel1,NC_069713.1,3260983.0,grpel1,S013,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
0,sorcs2,Q5Y98_017247,16026221,16283471,+,sorcs2,NC_069713.1,3409160.0,sorcs2,S013,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
1,afap1,Q5Y98_017315,16295324,16377100,-,afap1,NC_069721.1,23572573.0,afap1,S013,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
2,ablim2,Q5Y98_017006,16380608,16463026,-,ablim2,NC_069721.1,23475341.0,ablim2,S013,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
3,zcchc4,Q5Y98_017344,16465440,16473441,+,zcchc4,NC_069721.1,23411549.0,zcchc4,S013,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
4,Q5Y98_017343,Q5Y98_017343,16467291,16471090,-,si:dkey-219e21.4,NC_069721.1,23412095.0,si:dkey-219e21.4,S013,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
5,pde5ab,Q5Y98_017342,16479775,16553756,+,pde5ab,NC_069713.1,21526184.0,pde5ab,S013,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
6,mad2l1,Q5Y98_017345,16554142,16557655,-,mad2l1,NC_069713.1,21550285.0,mad2l1,S013,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
7,arsj,Q5Y98_016891,16585164,16599306,+,arsj,NC_069713.1,21571803.0,arsj,S013,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
8,camk2d1,Q5Y98_017008,16610830,16691439,+,camk2d1,NC_069713.1,21627001.0,camk2d1,S013,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
9,ank2b,Q5Y98_017005,16692229,16774050,-,ank2b,NC_069713.1,21722389.0,ank2b,S013,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
10,aco1,Q5Y98_016818,16884144,16896533,+,aco1,NC_069713.1,19628254.0,aco1,S013,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
-10,Q5Y98_016605,Q5Y98_016605,15913184,15927249,+,kiaa0232,NC_069713.1,2570998.0,kiaa0232,S014,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
-9,tbc1d14,Q5Y98_017046,15928009,15955703,+,LOC113524096,NC_069713.1,2531672.0,LOC113524096,S014,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
-8,ccl36.1,Q5Y98_016621,15961509,15962675,+,LOC128318107,NC_069713.1,2982896.0,LOC128318107,S014,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
-7,Q5Y98_016995,Q5Y98_016995,15963343,15967799,+,,,,,S014,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
-6,Q5Y98_016632,Q5Y98_016632,15976269,15981814,+,ccl32b.3,NC_069731.1,12943681.0,ccl32b.3,S014,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
-5,Q5Y98_017399,Q5Y98_017399,15982464,15990561,+,,,,,S014,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
-4,Q5Y98_017403,Q5Y98_017403,15990587,15994890,+,,,,,S014,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
-3,cfap184,Q5Y98_017401,15995980,15999000,-,,,,,S014,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
-2,tada2b,Q5Y98_017402,15999156,16005509,+,tada2b,NC_069713.1,3248940.0,tada2b,S014,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
-1,grpel1,Q5Y98_017404,16006730,16010831,-,grpel1,NC_069713.1,3260983.0,grpel1,S014,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
0,sorcs2,Q5Y98_017247,16026221,16283471,+,sorcs2,NC_069713.1,3409160.0,sorcs2,S014,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
1,afap1,Q5Y98_017315,16295324,16377100,-,afap1,NC_069721.1,23572573.0,afap1,S014,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
2,ablim2,Q5Y98_017006,16380608,16463026,-,ablim2,NC_069721.1,23475341.0,ablim2,S014,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
3,zcchc4,Q5Y98_017344,16465440,16473441,+,zcchc4,NC_069721.1,23411549.0,zcchc4,S014,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
4,Q5Y98_017343,Q5Y98_017343,16467291,16471090,-,si:dkey-219e21.4,NC_069721.1,23412095.0,si:dkey-219e21.4,S014,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
5,pde5ab,Q5Y98_017342,16479775,16553756,+,pde5ab,NC_069713.1,21526184.0,pde5ab,S014,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
6,mad2l1,Q5Y98_017345,16554142,16557655,-,mad2l1,NC_069713.1,21550285.0,mad2l1,S014,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
7,arsj,Q5Y98_016891,16585164,16599306,+,arsj,NC_069713.1,21571803.0,arsj,S014,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
8,camk2d1,Q5Y98_017008,16610830,16691439,+,camk2d1,NC_069713.1,21627001.0,camk2d1,S014,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
9,ank2b,Q5Y98_017005,16692229,16774050,-,ank2b,NC_069713.1,21722389.0,ank2b,S014,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
10,aco1,Q5Y98_016818,16884144,16896533,+,aco1,NC_069713.1,19628254.0,aco1,S014,Lateolabrax maculatus,GCA_031216445.1,SORCS2,gene
-10,Q5Y98_016703,Q5Y98_016703,6459957,6461798,-,,,,,S015,Lateolabrax maculatus,GCA_031216445.1,SLC7A8,gene
-9,Q5Y98_017187,Q5Y98_017187,6466386,6468283,-,,,,,S015,Lateolabrax maculatus,GCA_031216445.1,SLC7A8,gene
-8,Q5Y98_017184,Q5Y98_017184,6472914,6474766,-,,,,,S015,Lateolabrax maculatus,GCA_031216445.1,SLC7A8,gene
-7,Q5Y98_017201,Q5Y98_017201,6479109,6487813,-,,,,,S015,Lateolabrax maculatus,GCA_031216445.1,SLC7A8,gene
-6,nat8l,Q5Y98_017203,6487900,6504359,+,nat8l,NC_069713.1,11367649.0,nat8l,S015,Lateolabrax maculatus,GCA_031216445.1,SLC7A8,gene
-5,poln,Q5Y98_017188,6504360,6561002,-,poln,NC_069713.1,11401654.0,poln,S015,Lateolabrax maculatus,GCA_031216445.1,SLC7A8,gene
-4,haus3,Q5Y98_017412,6561200,6566400,-,haus3,NC_069713.1,11432445.0,haus3,S015,Lateolabrax maculatus,GCA_031216445.1,SLC7A8,gene
