"Gene symbol (zebrafish, Ensembl/ZFIN)",Common aliases,"Gene name (Ensembl/ZFIN, authoritative)",Gene name (plain-language label),Ensembl gene ID (D. rerio),ZFIN ID,Chr (GRCz11),Start (GRCz11),End (GRCz11),Strand,Biotype,ID verification note,Ensembl link,ZFIN link,Pathway group,Pathway / family (detail),Trait category,Evidence type,Evidence strength,Verification depth,Source species,Reported locus in source study,Proposed effect on growth,Primary reference (verified),Reference title,DOI,PMID,source_catalog,gene_symbol_norm,evidence_bucket,in_pangasius_catalog,has_verified_marker_variant,method,confidence,catfish_symbol,chrom_acc,start,end,note,cat_chrom,pos_check,locus_key,shared_locus_with
acvr2aa,ACVR2A; acvr2a,activin A receptor type 2Aa,activin A receptor type 2a,ENSDARG00000011188,ZDB-GENE-980526-227,9,25380758.0,25444091.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myostatin / TGF-beta / BMP,Myostatin / TGF-beta,Muscle mass,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Type II myostatin receptor; blockade produces muscle hypertrophy in vertebrates,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,acvr2aa,C,False,False,direct_symbol_match,high,acvr2aa,NC_069714.1,5638797.0,5686654.0,,chr5,ok,chr5:5638797-5686654,
acvr2ba,ACVR2B,activin A receptor type 2Ba,activin A receptor type 2Ba,ENSDARG00000044422,ZDB-GENE-980526-549,24,41167269.0,41220538.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myostatin / TGF-beta / BMP,Myostatin / TGF-beta,Muscle mass,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Dominant-negative ACVR2B causes marked muscle hypertrophy,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,acvr2ba,C,False,False,direct_symbol_match,high,acvr2ba,NC_069710.1,5746776.0,5801896.0,,chr1,ok,chr1:5746776-5801896,
adamts9,ADAMTS9,"ADAM metallopeptidase with thrombospondin type 1 motif, 9",ADAM metallopeptidase with thrombospondin type 1 motif 9,ENSDARG00000077778,ZDB-GENE-070814-6,11,19157879.0,19227802.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Skeletal, ECM & body shape",ECM remodelling,Fillet weight,GWAS/QTL,A - named in a verified primary teleost study,"Second-order check: source paper text read and the gene, trait, locus and effect size below confirmed against it (4 Sep 2026)",Oreochromis niloticus; Danio rerio,"LG05, exonic at 29,062,243 bp","Exonic lead SNP at LG05:29,062,243 associated with fillet weight in Nile tilapia. Regulates skeletal development and controls EGFR and TGF-beta1 signalling. The study reports no per-SNP variance estimate.",Yoshida GM et al. (2021) BMC Genomics 22:57,Multi-trait GWAS using imputed high-density genotypes from whole-genome sequencing identifies genes associated with body traits in Nile tilapia,10.1186/s12864-020-07341-z,33451291,teleost,adamts9,A,False,False,blast_ortholog,high,LOC113539463,NC_069729.1,3778148.0,3841329.0,BLAST ortholog (protein XP_034169994.2),chr20,ok,chr20:3778148-3841329,
agrp,AGRP; agrp1,agouti related neuropeptide,agouti related neuropeptide 1,ENSDARG00000069089,ZDB-GENE-040817-1,7,35080490.0,35083585.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Appetite & energy balance,Appetite / energy balance,Feed intake; body weight,Functional; Expression,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio; Oreochromis niloticus,,Orexigenic melanocortin antagonist; overexpression causes obesity and increased linear growth in zebrafish,Song Y et al. (2007) FASEB Journal 21:2042-2049,Creation of a genetic model of obesity in a teleost,10.1096/fj.06-7503com,,teleost,agrp,A,False,False,direct_symbol_match,high,agrp,NC_069734.1,5605166.0,5608809.0,,chr25,ok,chr25:5605166-5608809,
akt1,AKT1,v-akt murine thymoma viral onco homolog 1,AKT serine/threonine kinase 1,ENSDARG00000099657,ZDB-GENE-130730-1,17,1514711.0,1533170.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,mTOR / PI3K-AKT & translation,PI3K-AKT,Muscle hypertrophy,Pathway core; Expression,"B - verified primary study, supporting evidence",Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio; Oncorhynchus mykiss,,Central anabolic kinase; drives hypertrophy and blocks FOXO-mediated atrophy,"Seiliez I et al. (2008) American Journal of Physiology - Regulatory, Integrative and Comparative Physiology 295:R329-R335",An in vivo and in vitro assessment of TOR signaling cascade in rainbow trout (Oncorhynchus mykiss),10.1152/ajpregu.00146.2008,18434442,teleost,akt1,B,False,False,direct_symbol_match,high,akt1,NC_069719.1,20298107.0,20358546.0,,chr10,ok,chr10:20298107-20358546,
akt2,AKT2,v-akt murine thymoma viral onco homolog 2,AKT serine/threonine kinase 2,ENSDARG00000011219,ZDB-GENE-031007-5,18,40711188.0,40753583.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,mTOR / PI3K-AKT & translation,PI3K-AKT,Growth rate; glucose metabolism,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Insulin-responsive AKT isoform,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,akt2,C,False,False,direct_symbol_match,high,akt2,NC_069715.1,20517180.0,20537885.0,,chr6,ok,chr6:20517180-20537885,
akt3a,AKT3,v-akt murine thymoma viral onco homolog 3a,AKT serine/threonine kinase 3a,ENSDARG00000104810,ZDB-GENE-050419-180,13,11175208.0,11378355.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,mTOR / PI3K-AKT & translation,PI3K-AKT,Body size,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,AKT isoform determining organ and body size in vertebrates,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,akt3a,C,False,False,direct_symbol_match,high,akt3a,NC_069712.1,21005863.0,21102643.0,,chr3,ok,chr3:21005863-21102643,
amhr2,AMHR2,anti-Mullerian hormone receptor type 2 [no Ensembl record - name not database-verified],anti-Mullerian hormone receptor type 2,no zebrafish ortholog in Ensembl,,,,,,,No zebrafish ortholog in Ensembl - gene retained for its relevance in other teleosts; no coordinates available,,,"Life-history, sex & maturation",Sex determination / SSD,"Sexual size dimorphism (indirect, via sex)",Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Pelteobagrus fulvidraco; Oreochromis niloticus,,"Master sex-determining gene in yellow catfish and several other teleosts; affects harvest size only indirectly through strong male-biased sexual size dimorphism. NOTE: the yellow catfish growth GWAS (Huang et al. 2022) implicated stat5b, not amhr2 - no direct growth-association evidence is cited here.",No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,amhr2,C,False,False,blast_ortholog_cross_species,low,LOC113533735,NC_069719.1,26649747.0,26663386.0,"BLAST hit protein XP_026781830.3, 26.6% identity. closest catfish paralog match only (25-27% identity); true 1:1 ortholog uncertain — catfish AMHR2 paralog family is divergent",chr10,ok,chr10:26649747-26663386,
apln,"APLN, apelin",apelin,apelin,ENSDARG00000053279,ZDB-GENE-070521-8,14,33722950.0,33757715.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Appetite & energy balance,Appetite / energy balance,Feed intake,Pathway core,B - verified review / pathway reference only,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio,,Orexigenic peptide in fish,Volkoff H (2016) Frontiers in Neuroscience 10:540; Ronnestad I et al. (2017) Frontiers in Endocrinology 8:73,The neuroendocrine regulation of food intake in fish: a review of current knowledge | Appetite-controlling endocrine systems in teleosts,10.3389/fnins.2016.00540; 10.3389/fendo.2017.00073,28458653,teleost,apln,B,False,False,direct_symbol_match,high,apln,NC_069716.1,15521058.0,15541578.0,,chr7,ok,chr7:15521058-15541578,
asb2a.1,ASB2; asb2a,"ankyrin repeat and SOCS box containing 2a, tandem duplicate 1",ankyrin repeat and SOCS box containing 2a,ENSDARG00000003797,ZDB-GENE-030131-5355,20,27295701.0,27311675.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Muscle protein turnover & proteolysis,Ubiquitin ligase / muscle,Body weight; gutted weight,GWAS/QTL; Expression,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oreochromis niloticus; Salmo salar; Danio rerio,LG19,Growth inhibition role; highly expressed during fasting in Atlantic salmon,Yoshida GM et al. (2021) BMC Genomics 22:57,Multi-trait GWAS using imputed high-density genotypes from whole-genome sequencing identifies genes associated with body traits in Nile tilapia,10.1186/s12864-020-07341-z,33451291,teleost,asb2a.1,A,False,False,direct_symbol_match,high,asb2a.1,NC_069728.1,19360292.0,19378413.0,,chr19,ok,chr19:19360292-19378413,
asb2b,ASB2b,ankyrin repeat and SOCS box containing 2b,ankyrin repeat and SOCS box containing 2b,ENSDARG00000102490,ZDB-GENE-040426-20,17,53311243.0,53318153.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Muscle protein turnover & proteolysis,Ubiquitin ligase / muscle,Body weight,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Duplicated ASB2; muscle E3 ligase substrate receptor,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,asb2b,C,False,False,direct_symbol_match,high,asb2b,NC_069719.1,10644369.0,10653020.0,,chr10,ok,chr10:10644369-10653020,
asip2b,AGRP2; agrp2,"agouti signaling protein, nonagouti homolog (mouse) 2b",agouti related neuropeptide 2,ENSDARG00000114760,ZDB-GENE-150212-1,2,7419986.0,7431590.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Appetite & energy balance,Appetite / energy balance,Feed intake; pigmentation,Pathway core,"B - verified primary study, supporting evidence",Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio,,Teleost-specific AGRP paralogue,Zhang C et al. (2010) PNAS 107:20164-20171,Pineal-specific agouti protein regulates teleost background adaptation,10.1073/pnas.1014941107,20980662,teleost,asip2b,B,False,False,direct_symbol_match,high,asip2b,NC_069713.1,30667680.0,30675345.0,,chr4,ok,chr4:30667680-30675345,
atg7,ATG7,ATG7 autophagy related 7 homolog (S. cerevisiae),autophagy related 7,ENSDARG00000102893,ZDB-GENE-030131-1633,11,816106.0,891674.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Muscle protein turnover & proteolysis,Autophagy,Protein turnover,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Core autophagy enzyme; balances muscle protein degradation,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,atg7,C,False,False,direct_symbol_match,high,atg7,NC_069729.1,13146402.0,13256378.0,,chr20,ok,chr20:13146402-13256378,
atp6v1h,ATP6V1H,ATPase H+ transporting V1 subunit H,ATPase H+ transporting V1 subunit H,ENSDARG00000006370,ZDB-GENE-021219-2,2,30786773.0,30846927.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Muscle protein turnover & proteolysis,Lysosomal proteolysis,Body weight,GWAS/QTL,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oncorhynchus mykiss; Danio rerio,,V-ATPase subunit acidifying lysosomes; within growth-associated region,Ali A et al. (2020) BMC Genomics 21:209,Genome-wide identification of loci associated with growth in rainbow trout,10.1186/s12864-020-6617-x,32138655,teleost,atp6v1h,A,False,False,direct_symbol_match,high,atp6v1h,NC_069713.1,23344843.0,23379648.0,,chr4,ok,chr4:23344843-23379648,
becn1,"BECN1, beclin-1","beclin 1, autophagy related",beclin 1,ENSDARG00000079128,ZDB-GENE-040426-1666,12,14556092.0,14703429.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Muscle protein turnover & proteolysis,Autophagy,Protein turnover,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Autophagy initiation; nutrient-responsive proteolysis,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,becn1,C,False,False,direct_symbol_match,high,becn1,NC_069721.1,768432.0,778271.0,,chr12,ok,chr12:768432-778271,
bloc1s2,"BLOS2, BLOC1S2","biosis of lysosomal organelles complex-1, subunit 2","biogenesis of lysosomal organelles complex-1, subunit 2",ENSDARG00000046081,ZDB-GENE-050809-129,20,7584211.0,7593106.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Other growth signalling & trafficking,Vesicle trafficking,Body weight,GWAS/QTL,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oncorhynchus mykiss; Danio rerio,Omy4,Negative Notch regulator; knockout embryonic lethal,Ali A et al. (2020) BMC Genomics 21:209,Genome-wide identification of loci associated with growth in rainbow trout,10.1186/s12864-020-6617-x,32138655,teleost,bloc1s2,A,False,False,direct_symbol_match,high,bloc1s2,NC_069728.1,6116665.0,6122689.0,,chr19,ok,chr19:6116665-6122689,
bmp2a,BMP2,bone morphotic protein 2a,bone morphogenetic protein 2a,ENSDARG00000013409,ZDB-GENE-980526-388,17,4227254.0,4231532.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myostatin / TGF-beta / BMP,BMP / skeletal,Skeletal growth; body depth,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio; Oreochromis niloticus,,Osteoinductive ligand driving bone and cartilage formation,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,bmp2a,C,False,False,direct_symbol_match,high,bmp2a,NC_069719.1,11918019.0,11922709.0,,chr10,ok,chr10:11918019-11922709,
bmp2b,BMP2b,bone morphotic protein 2b,bone morphogenetic protein 2b,ENSDARG00000041430,ZDB-GENE-980526-474,20,45893173.0,45899149.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myostatin / TGF-beta / BMP,BMP / skeletal,Skeletal growth,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Dorsoventral patterning and skeletal development,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,bmp2b,C,False,False,direct_symbol_match,high,bmp2b,NC_069728.1,9420628.0,9425628.0,,chr19,ok,chr19:9420628-9425628,
bmp4,BMP4,bone morphotic protein 4,bone morphogenetic protein 4,ENSDARG00000019995,ZDB-GENE-980528-2059,17,50564070.0,50586135.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myostatin / TGF-beta / BMP,BMP / skeletal,Body shape; craniofacial,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio; Astatotilapia burtoni,,Classic modulator of jaw and body shape in fish adaptive radiation,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,bmp4,C,False,False,direct_symbol_match,high,bmp4,NC_069719.1,11427107.0,11435422.0,,chr10,ok,chr10:11427107-11435422,
bmp6,BMP6,bone morphotic protein 6,bone morphogenetic protein 6,ENSDARG00000015686,ZDB-GENE-050306-42,24,7861373.0,7935809.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myostatin / TGF-beta / BMP,BMP / skeletal,Skeletal; tooth/bone,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio; Gasterosteus aculeatus,,Skeletal element size regulator; stickleback tooth number QTL gene,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,bmp6,C,False,False,direct_symbol_match,high,bmp6,NC_069731.1,9072565.0,9147232.0,,chr22,ok,chr22:9072565-9147232,
bmp7a,BMP7,bone morphotic protein 7a,bone morphogenetic protein 7a,ENSDARG00000018260,ZDB-GENE-000208-25,11,7107798.0,7147540.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myostatin / TGF-beta / BMP,BMP / skeletal,Skeletal growth,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Osteogenic BMP ligand,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,bmp7a,C,False,False,direct_symbol_match,high,bmp7a,NC_069729.1,5453318.0,5477109.0,,chr20,ok,chr20:5453318-5477109,
bmpr1aa,BMPR1A,"bone morphotic protein receptor, type IAa",bone morphogenetic protein receptor type 1aa,ENSDARG00000019728,ZDB-GENE-000502-1,13,22555342.0,22619790.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myostatin / TGF-beta / BMP,BMP / skeletal,Skeletal growth,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Type I BMP receptor in bone formation,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,bmpr1aa,C,False,False,direct_symbol_match,high,bmpr1aa,NC_069712.1,10345016.0,10382349.0,,chr3,ok,chr3:10345016-10382349,
capn2a,"CAPN2, m-calpain; capn2","calpain 2, (m/II) large subunit a",calpain 2,ENSDARG00000091699,ZDB-GENE-050320-69,13,42725712.0,42757565.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Muscle protein turnover & proteolysis,Muscle proteolysis,Carcass weight,GWAS/QTL; Pathway core,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oncorhynchus mykiss; Danio rerio,Omy17,Within carcass-weight-associated region; calcium-dependent muscle protein degradation,Gonzalez-Pena D et al. (2016) Frontiers in Genetics 7:203,"Genome-wide association study for identifying loci that affect fillet yield, carcass, and body weight traits in rainbow trout (Oncorhynchus mykiss)",10.3389/fgene.2016.00203,27920797,teleost,capn2a,A,False,False,blast_ortholog,high,LOC113547602,NC_069734.1,16179521.0,16199414.0,BLAST ortholog (protein XP_034155515.2),chr25,ok,chr25:16179521-16199414,
