locus_id,species,assembly,query_symbol,matched_symbol,gene_id,protein_id,has_protein,has_cds,protein_len,cds_len
W057,Culter alburnus,GCA_040182925.1,cacna1b,ABG768_023021,ABG768_023021,KAK9974957.1,True,True,2284,6855
W057,Culter alburnus,GCA_040182925.1,pgm5,ABG768_026559,ABG768_026559,KAK9970632.1,True,True,567,1704
W057,Culter alburnus,GCA_040182925.1,bcr,ABG768_015116,ABG768_015116,KAK9955230.1,True,True,1341,4026
W008,Epinephelus coioides,GCA_051314025.1,adgrb2,ABVT39_025855,ABVT39_025855,KAL7382654.1,True,True,1669,5010
W008,Epinephelus coioides,GCA_051314025.1,csnk2a1,ABVT39_005520,ABVT39_005520,KAL7393027.1,True,True,392,1179
W008,Epinephelus coioides,GCA_051314025.1,cers5,ABVT39_023777,ABVT39_023777,KAL7408459.1,True,True,389,1170
W008,Epinephelus coioides,GCA_051314025.1,col22a1,ABVT39_007429,ABVT39_007429,KAL7381534.1,True,True,1555,4668
W008,Epinephelus coioides,GCA_051314025.1,dnd1,ABVT39_007056,ABVT39_007056,KAL7394924.1,True,True,473,1422
W008,Epinephelus coioides,GCA_051314025.1,dzank1,ABVT39_012406,ABVT39_012406,KAL7404278.1,True,True,738,2217
W008,Epinephelus coioides,GCA_051314025.1,dnai1,ABVT39_012923,ABVT39_012923,KAL7407744.1,True,True,698,2097
W008,Epinephelus coioides,GCA_051314025.1,fat3,ABVT39_006834,ABVT39_006834,KAL7400121.1,True,True,4606,13821
W008,Epinephelus coioides,GCA_051314025.1,lrrk2,ABVT39_026594,ABVT39_026594,KAL7403229.1,True,True,2541,7626
W037,Epinephelus coioides,GCA_051314025.1,bmp7,ABVT39_013450,ABVT39_013450,KAL7398689.1,True,True,427,1284
W037,Epinephelus coioides,GCA_051314025.1,sema3a,ABVT39_013864,ABVT39_013864,KAL7370906.1,True,True,864,2595
W037,Epinephelus coioides,GCA_051314025.1,capzb,ABVT39_027618,ABVT39_027618,KAL7408690.1,True,True,272,819
W037,Epinephelus coioides,GCA_051314025.1,eps8l2,ABVT39_003391,ABVT39_003391,KAL7401691.1,True,True,686,2061
L029,Epinephelus coioides,GCA_051314025.1,fez2,ABVT39_024225,ABVT39_024225,KAL7394321.1,True,True,398,1197
L029,Epinephelus coioides,GCA_051314025.1,alg3,ABVT39_020409,ABVT39_020409,KAL7387227.1,True,True,456,1371
L029,Epinephelus coioides,GCA_051314025.1,ece2,ABVT39_004967,ABVT39_004967,KAL7386187.1,True,True,613,1842
L029,Epinephelus coioides,GCA_051314025.1,arvcf,ABVT39_000686,ABVT39_000686,KAL7376080.1,True,True,898,2697
L029,Epinephelus coioides,GCA_051314025.1,camk2,ABVT39_017076,ABVT39_017076,KAL7390211.1,True,True,508,1527
L029,Epinephelus coioides,GCA_051314025.1,prrc2b,ABVT39_004392,ABVT39_004392,KAL7376261.1,True,True,2235,6708
L029,Epinephelus coioides,GCA_051314025.1,sardh,ABVT39_005269,ABVT39_005269,KAL7376313.1,True,True,916,2751
L029,Epinephelus coioides,GCA_051314025.1,pappa,ABVT39_026765,ABVT39_026765,KAL7377387.1,True,True,1647,4944
L029,Epinephelus coioides,GCA_051314025.1,syk,ABVT39_018797,ABVT39_018797,KAL7376943.1,True,True,570,1713
L029,Epinephelus coioides,GCA_051314025.1,tert,ABVT39_023100,ABVT39_023100,KAL7382475.1,True,True,1098,3297
L029,Epinephelus coioides,GCA_051314025.1,ftz-f1,ABVT39_021125,ABVT39_021125,KAL7397385.1,True,True,521,1566
L008,Takifugu fasciatus,GCA_059138665.1,ADGRB,AC4PPQ_031298,AC4PPQ_031298,MIC5734495.1,True,True,780,2343
L006,Cynoglossus semilaevis,GCF_000523025.1,grid1,grid1a,grid1a,XP_016892791.1,True,True,1061,3186
L006,Cynoglossus semilaevis,GCF_000523025.1,grid2,grid2,grid2,XP_008335109.1,True,True,933,2802
L006,Cynoglossus semilaevis,GCF_000523025.1,shcbp1,shcbp1,shcbp1,XP_008308904.1,True,True,693,2082
L006,Cynoglossus semilaevis,GCF_000523025.1,sass6,sass6,sass6,XP_008333100.1,True,True,587,1764
L006,Cynoglossus semilaevis,GCF_000523025.1,cdca7,cdca7a,cdca7a,XP_008326502.1,True,True,401,1206
L006,Cynoglossus semilaevis,GCF_000523025.1,gh,gh1,gh1,NP_001281140.1,True,True,200,603
L006,Cynoglossus semilaevis,GCF_000523025.1,igf1,igf1,igf1,NP_001281127.1,True,True,187,564
W012,Larimichthys crocea,GCF_000972845.2,fgf1,fgf1a,fgf1a,XP_019121025.1,True,True,158,477
W012,Larimichthys crocea,GCF_000972845.2,nr3c1,nr3c1,nr3c1,XP_019121046.1,True,True,771,2316
W012,Larimichthys crocea,GCF_000972845.2,fabp2,fabp2,fabp2,XP_010743217.3,True,True,133,402
W012,Larimichthys crocea,GCF_000972845.2,cyp2r1,cyp2r1,cyp2r1,XP_010729681.1,True,True,519,1560
W012,Larimichthys crocea,GCF_000972845.2,ppara,pparaa,pparaa,XP_010747326.3,True,True,481,1446
W012,Larimichthys crocea,GCF_000972845.2,col1a1,col1a1a,col1a1a,XP_019117249.1,True,True,1447,4344
W012,Larimichthys crocea,GCF_000972845.2,col11a2,col11a2,col11a2,XP_027142506.1,True,True,1826,5481
W012,Larimichthys crocea,GCF_000972845.2,col18a1,col18a1a,col18a1a,XP_010743517.3,True,True,1455,4368
W012,Larimichthys crocea,GCF_000972845.2,fgf18,fgf18a,fgf18a,XP_027141968.1,True,True,257,774
W012,Larimichthys crocea,GCF_000972845.2,ccm2l,ccm2l,ccm2l,XP_019121662.1,True,True,591,1776
W012,Larimichthys crocea,GCF_000972845.2,bmp7,bmp7b,bmp7b,XP_027133056.1,True,True,427,1284
W018,Larimichthys crocea,GCF_000972845.2,bcor,bcor,bcor,XP_019112937.2,True,True,1874,5625
W018,Larimichthys crocea,GCF_000972845.2,mstn,mstnb,mstnb,XP_010731452.1,True,True,376,1131
W018,Larimichthys crocea,GCF_000972845.2,bambi,bambia,bambia,XP_010735622.1,True,True,261,786
W018,Larimichthys crocea,GCF_000972845.2,neo1,neo1a,neo1a,XP_019131380.1,True,True,1489,4470
L003,Larimichthys crocea,GCF_000972845.2,Unc5d,unc5db,unc5db,XP_019118525.1,True,True,959,2880
L003,Larimichthys crocea,GCF_000972845.2,HUS1,hus1,hus1,XP_027129984.1,True,True,285,858
L018,Larimichthys polyactis,GCF_000972845.2,kif26b,kif26ba,kif26ba,XP_019117958.1,True,True,2372,7119
L018,Larimichthys polyactis,GCF_000972845.2,bat1,ddx39b,ddx39b,XP_010744287.1,True,True,432,1299
L018,Larimichthys polyactis,GCF_000972845.2,amfr,amfra,amfra,XP_019135134.2,True,True,556,1671
W021,Lates calcarifer,GCF_001640805.2,gh1,gh1,gh1,XP_018516903.1,True,True,204,615
L022,Ictalurus punctatus,GCF_001660625.3,gas1,gas1a,gas1a,XP_017308020.1,True,True,267,804
S017,Oreochromis niloticus,GCF_001858045.2,galnt9,galnt9,galnt9,XP_003445610.1,True,True,604,1815
S017,Oreochromis niloticus,GCF_001858045.2,esrrg,esrrga,esrrga,XP_019215257.1,True,True,525,1578
W015,Oreochromis niloticus,GCF_001858045.2,RAB31,rab31,rab31,XP_003448512.1,True,True,194,585
W015,Oreochromis niloticus,GCF_001858045.2,FSTL3,fstl3,fstl3,XP_003439904.1,True,True,250,753
W015,Oreochromis niloticus,GCF_001858045.2,NPR1,npr1a,npr1a,XP_003443830.1,True,True,1063,3192
W015,Oreochromis niloticus,GCF_001858045.2,EXTL3,extl3,extl3,XP_003446330.1,True,True,916,2751
W015,Oreochromis niloticus,GCF_001858045.2,UTP6,utp6,utp6,XP_003447939.1,True,True,595,1788
W024,Oreochromis niloticus,GCF_001858045.2,FUT8,fut8b,fut8b,XP_003446397.1,True,True,583,1752
W024,Oreochromis niloticus,GCF_001858045.2,SLC4A2,slc4a2b,slc4a2b,XP_005449053.1,True,True,1229,3690
W024,Oreochromis niloticus,GCF_001858045.2,ADAMTS9,adamts9,adamts9,XP_005450351.1,True,True,1941,5826
W024,Oreochromis niloticus,GCF_001858045.2,HEG1,heg1,heg1,XP_005451984.1,True,True,1001,3006
W024,Oreochromis niloticus,GCF_001858045.2,COL4A1,col4a1,col4a1,XP_005457918.1,True,True,1636,4911
W024,Oreochromis niloticus,GCF_001858045.2,GDF6,gdf6a,gdf6a,XP_005472640.1,True,True,442,1329
W024,Oreochromis niloticus,GCF_001858045.2,NUP107,nup107,nup107,XP_003448126.1,True,True,908,2727
W025,Oreochromis niloticus,GCF_001858045.2,igf1rb,igf1rb,igf1rb,XP_005447746.1,True,True,1423,4272
W025,Oreochromis niloticus,GCF_001858045.2,rora,roraa,roraa,XP_003440478.1,True,True,519,1560
W025,Oreochromis niloticus,GCF_001858045.2,efna3,efna3a,efna3a,XP_005457288.1,True,True,224,675
W025,Oreochromis niloticus,GCF_001858045.2,aurk,aurka,aurka,XP_013132381.1,True,True,427,1284
W025,Oreochromis niloticus,GCF_001858045.2,MAPK,mapk1,mapk1,XP_003444522.1,True,True,369,1110
W026,Oreochromis niloticus,GCF_001858045.2,ghrh,ghrh,ghrh,XP_013125402.1,True,True,203,612
W026,Oreochromis niloticus,GCF_001858045.2,eif4e3,LOC100689919,LOC100689919,XP_003442829.1,True,True,227,684
W026,Oreochromis niloticus,GCF_001858045.2,ntrk3a,ntrk3a,ntrk3a,XP_013129273.1,True,True,827,2484
W054,Oreochromis niloticus,GCF_001858045.2,galnt9,galnt9,galnt9,XP_003445610.1,True,True,604,1815
W054,Oreochromis niloticus,GCF_001858045.2,esrrg,esrrga,esrrga,XP_019215257.1,True,True,525,1578
W054,Oreochromis niloticus,GCF_001858045.2,map7,map7a,map7a,XP_019204719.1,True,True,649,1950
W054,Oreochromis niloticus,GCF_001858045.2,mtfr2,mtfr2,mtfr2,XP_005449636.1,True,True,351,1056
W054,Oreochromis niloticus,GCF_001858045.2,kcnj8,kcnj8,kcnj8,XP_003448124.1,True,True,421,1266
W054,Oreochromis niloticus,GCF_001858045.2,fhit,fhit,fhit,XP_003446525.1,True,True,149,450
W054,Oreochromis niloticus,GCF_001858045.2,dnm1,dnm1a,dnm1a,XP_013123755.2,True,True,861,2586
W054,Oreochromis niloticus,GCF_001858045.2,cald1,cald1a,cald1a,XP_025755327.1,True,True,631,1896
W054,Oreochromis niloticus,GCF_001858045.2,plxnb2,plxnb2a.1,plxnb2a.1,XP_003448161.1,True,True,1865,5598
W054,Oreochromis niloticus,GCF_001858045.2,nuak1,nuak1b,nuak1b,XP_019217571.1,True,True,751,2256
W054,Oreochromis niloticus,GCF_001858045.2,bpgm,bpgm,bpgm,XP_003444047.1,True,True,258,777
L012,Oreochromis niloticus,GCF_001858045.2,hip1,hip1,hip1,XP_025753912.1,True,True,1064,3195
L012,Oreochromis niloticus,GCF_001858045.2,hectd1,hectd1,hectd1,XP_025756595.1,True,True,2583,7752
L012,Oreochromis niloticus,GCF_001858045.2,elna,elna,elna,XP_025754234.1,True,True,969,2910
L012,Oreochromis niloticus,GCF_001858045.2,smyd1b,smyd1b,smyd1b,XP_003446139.1,True,True,489,1470
L012,Oreochromis niloticus,GCF_001858045.2,rrp12,rrp12,rrp12,XP_003441093.1,True,True,1288,3867
L012,Oreochromis niloticus,GCF_001858045.2,pprc1,pprc1,pprc1,XP_025753465.1,True,True,1337,4014
L033,Oncorhynchus kisutch,GCF_002021735.2,Clock,clocka,clocka,XP_020348362.1,True,True,936,2811
S008,Epinephelus fuscoguttatus,GCF_011397635.1,bmp2k,bmp2k,bmp2k,XP_049435932.1,True,True,1166,3501
W017,Epinephelus fuscoguttatus,GCF_011397635.1,bmp2k,bmp2k,bmp2k,XP_049435932.1,True,True,1166,3501
W017,Epinephelus fuscoguttatus,GCF_011397635.1,wasf1,wasf1,wasf1,XP_049445365.1,True,True,555,1668
W017,Epinephelus fuscoguttatus,GCF_011397635.1,acyp2,LOC125886197,LOC125886197,XP_049428162.1,True,True,98,297
W004,Oncorhynchus mykiss,GCF_013265735.2,Sox2,sox2,sox2,XP_021459684.1,True,True,315,948
W004,Oncorhynchus mykiss,GCF_013265735.2,Trim33,LOC110532346,LOC110532346,XP_021471839.1,True,True,1212,3639
W004,Oncorhynchus mykiss,GCF_013265735.2,Ksr1,ksr1a,ksr1a,XP_021474109.2,True,True,1005,3018
W010,Oncorhynchus mykiss,GCF_013265735.2,ETFDH,etfdh,etfdh,XP_021439805.1,True,True,620,1863
W010,Oncorhynchus mykiss,GCF_013265735.2,LAMP2,lamp2,lamp2,XP_021439878.2,True,True,434,1305
W010,Oncorhynchus mykiss,GCF_013265735.2,TNFRSF5A,cd40,cd40,NP_001268311.1,True,True,331,996
W010,Oncorhynchus mykiss,GCF_013265735.2,cd34a,cd34a,cd34a,XP_021420089.2,True,True,449,1350
W010,Oncorhynchus mykiss,GCF_013265735.2,mcts1,mcts1,mcts1,NP_001154149.1,True,True,181,546
W019,Oncorhynchus mykiss,GCF_013265735.2,THBS1,thbs1b,thbs1b,XP_036832124.1,True,True,1174,3525
W019,Oncorhynchus mykiss,GCF_013265735.2,PHGDH,phgdh,phgdh,XP_021434737.2,True,True,527,1584
W019,Oncorhynchus mykiss,GCF_013265735.2,CAV-1,cav1,cav1,XP_021432303.2,True,True,182,549
W019,Oncorhynchus mykiss,GCF_013265735.2,CCND1,ccnd1,ccnd1,XP_021462691.1,True,True,292,879
W022,Oncorhynchus mykiss,GCF_013265735.2,gnpat,gnpat,gnpat,XP_021467639.1,True,True,666,2001
W022,Oncorhynchus mykiss,GCF_013265735.2,bcmo1,bco1,bco1,XP_036836633.1,True,True,520,1563
W023,Oncorhynchus mykiss,GCF_013265735.2,STAT5B,stat5,stat5,XP_036795590.1,True,True,860,2583
W023,Oncorhynchus mykiss,GCF_013265735.2,STAT3,LOC110538194,LOC110538194,XP_021480514.1,True,True,807,2424
W023,Oncorhynchus mykiss,GCF_013265735.2,CISH,cish,cish,NP_001165324.1,True,True,225,678
W053,Oncorhynchus mykiss,GCF_013265735.2,sema6ba,sema6bb,sema6bb,XP_036833987.1,True,True,861,2586
S010,Micropterus salmoides,GCF_014851395.1,igf1,igf1,igf1,XP_038594256.1,True,True,186,561
S010,Micropterus salmoides,GCF_014851395.1,myf5,myf5,myf5,XP_038594240.1,True,True,240,723
S010,Micropterus salmoides,GCF_014851395.1,myf6,myf6,myf6,XP_038594239.1,True,True,240,723
W044,Micropterus salmoides,GCF_014851395.1,igf1,igf1,igf1,XP_038594256.1,True,True,186,561
W044,Micropterus salmoides,GCF_014851395.1,myf5,myf5,myf5,XP_038594240.1,True,True,240,723
W044,Micropterus salmoides,GCF_014851395.1,myf6,myf6,myf6,XP_038594239.1,True,True,240,723
W044,Micropterus salmoides,GCF_014851395.1,igf2r,igf2r,igf2r,XP_038583186.1,True,True,2483,7452
W044,Micropterus salmoides,GCF_014851395.1,cavin4b,cavin4b,cavin4b,XP_038588907.1,True,True,310,933
W052,Micropterus salmoides,GCF_014851395.1,llgl2,llgl2,llgl2,XP_038591323.1,True,True,1008,3027
W052,Micropterus salmoides,GCF_014851395.1,myo15b,myo15b,myo15b,XP_038592063.1,True,True,3003,9012
W052,Micropterus salmoides,GCF_014851395.1,plcd3a,plcd3a,plcd3a,XP_038561083.1,True,True,788,2367
W052,Micropterus salmoides,GCF_014851395.1,galk1,galk1,galk1,XP_038591940.1,True,True,393,1182
W052,Micropterus salmoides,GCF_014851395.1,acbd4,acbd4,acbd4,XP_038591181.1,True,True,422,1269
W052,Micropterus salmoides,GCF_014851395.1,pard3,pard3ab,pard3ab,XP_038573233.1,True,True,1410,4233
L004,Micropterus salmoides,GCF_014851395.1,Mapkap1,mapkap1,mapkap1,XP_038589365.1,True,True,549,1650
L004,Micropterus salmoides,GCF_014851395.1,Hmgcs1,hmgcs1,hmgcs1,XP_038589134.1,True,True,514,1545
L004,Micropterus salmoides,GCF_014851395.1,Slc27a6,slc27a6,slc27a6,XP_038589233.1,True,True,623,1872
L004,Micropterus salmoides,GCF_014851395.1,Shroom3,shroom3,shroom3,XP_038590044.1,True,True,2082,6249
W007,Cyprinus carpio,GCF_018340385.1,igf1,igf1,igf1,XP_018948511.1,True,True,161,486
W007,Cyprinus carpio,GCF_018340385.1,igf3,LOC109068761,LOC109068761,XP_018941045.1,True,True,239,720
W007,Cyprinus carpio,GCF_018340385.1,grb10,LOC109079331,LOC109079331,XP_042632616.1,True,True,616,1851
W007,Cyprinus carpio,GCF_018340385.1,igf1r,LOC109104460,LOC109104460,XP_042600001.1,True,True,1407,4224
W007,Cyprinus carpio,GCF_018340385.1,notch2,notch2,notch2,XP_042617969.1,True,True,2542,7629
W007,Cyprinus carpio,GCF_018340385.1,sfrp2,LOC109110030,LOC109110030,XP_018978616.1,True,True,295,888
W007,Cyprinus carpio,GCF_018340385.1,srpk2,srpk2,srpk2,XP_042571791.1,True,True,794,2385
W016,Cyprinus carpio,GCF_018340385.1,TOX,LOC109059857,LOC109059857,XP_042574061.1,True,True,542,1629
W016,Cyprinus carpio,GCF_018340385.1,PLK2,LOC109086785,LOC109086785,XP_042589191.1,True,True,666,2001
L011,Cyprinus carpio,GCF_018340385.1,pld1,pld1b,pld1b,XP_042570434.1,True,True,1042,3129
L028,Cyprinus carpio,GCF_018340385.1,KISS2,kiss2,kiss2,XP_042577950.1,True,True,121,366
L028,Cyprinus carpio,GCF_018340385.1,IGF1,igf1,igf1,XP_018948511.1,True,True,161,486
L028,Cyprinus carpio,GCF_018340385.1,SMTLB,smtlb,smtlb,XP_042587942.1,True,True,229,690
L028,Cyprinus carpio,GCF_018340385.1,CPE,cpe,cpe,XP_042633346.1,True,True,454,1365
L028,Cyprinus carpio,GCF_018340385.1,DMRT2b,dmrt2b,dmrt2b,XP_018960210.1,True,True,369,1110
S009,Hypophthalmichthys nobilis,GCF_019924925.1,fndc5b,fndc5b,fndc5b,XP_051728311.1,True,True,207,624
S027,Ctenopharyngodon idella,GCF_019924925.1,UBL5,LOC127518363,LOC127518363,XP_051760908.1,True,True,73,222
W020,Hypophthalmichthys nobilis,GCF_019924925.1,prdm1b,prdm1b,prdm1b,XP_051729316.1,True,True,685,2058
W020,Hypophthalmichthys nobilis,GCF_019924925.1,fndc5b,fndc5b,fndc5b,XP_051728311.1,True,True,207,624
W020,Hypophthalmichthys nobilis,GCF_019924925.1,lbr,lbr,lbr,XP_051731472.1,True,True,609,1830
W020,Hypophthalmichthys nobilis,GCF_019924925.1,bmp8a,bmp8a,bmp8a,XP_051728266.1,True,True,456,1371
W020,Hypophthalmichthys nobilis,GCF_019924925.1,ptch1,ptch1,ptch1,XP_051759803.1,True,True,1503,4512
W020,Hypophthalmichthys nobilis,GCF_019924925.1,col9a1a,col9a1a,col9a1a,XP_051768143.1,True,True,687,2064
W020,Hypophthalmichthys nobilis,GCF_019924925.1,tgfbr2,tgfbr2a,tgfbr2a,XP_051728696.1,True,True,660,1983
W020,Hypophthalmichthys nobilis,GCF_019924925.1,hecw2a,hecw2a,hecw2a,XP_051762778.1,True,True,1476,4431
W020,Hypophthalmichthys nobilis,GCF_019924925.1,zbtb42,zbtb42,zbtb42,XP_051724988.1,True,True,458,1377
W020,Hypophthalmichthys nobilis,GCF_019924925.1,sema7a,sema7a,sema7a,XP_051739376.1,True,True,639,1920
W028,Hypophthalmichthys nobilis,GCF_019924925.1,fndc5b,fndc5b,fndc5b,XP_051728311.1,True,True,207,624
W041,Ctenopharyngodon idella,GCF_019924925.1,cers5,cers5,cers5,XP_051763313.1,True,True,393,1182
W041,Ctenopharyngodon idella,GCF_019924925.1,ctnnbip1,ctnnbip1,ctnnbip1,XP_051736341.1,True,True,81,246
W041,Ctenopharyngodon idella,GCF_019924925.1,smoc2,smoc2,smoc2,XP_051773955.1,True,True,441,1326
W041,Ctenopharyngodon idella,GCF_019924925.1,ano6,ano6,ano6,XP_051748312.1,True,True,911,2736
W041,Ctenopharyngodon idella,GCF_019924925.1,pwp1,pwp1,pwp1,XP_051748324.1,True,True,490,1473
W041,Ctenopharyngodon idella,GCF_019924925.1,chrebp,mlxip,mlxip,XP_051749330.1,True,True,855,2568
W041,Ctenopharyngodon idella,GCF_019924925.1,lsr,lsr,lsr,XP_051718610.1,True,True,619,1860
W056,Ctenopharyngodon idella,GCF_019924925.1,UBL5,LOC127518363,LOC127518363,XP_051760908.1,True,True,73,222
W056,Ctenopharyngodon idella,GCF_019924925.1,GNG7,gng7,gng7,XP_051722463.1,True,True,68,207
W056,Ctenopharyngodon idella,GCF_019924925.1,SLC16A2,slc16a2,slc16a2,XP_051715745.1,True,True,541,1626
W033,Siniperca chuatsi,GCF_020085105.1,asns,asns,asns,XP_044027665.1,True,True,559,1680
W033,Siniperca chuatsi,GCF_020085105.1,tg,tg,tg,XP_044062746.1,True,True,2411,7236
W033,Siniperca chuatsi,GCF_020085105.1,htra1,htra1b,htra1b,XP_044035441.1,True,True,476,1431
W033,Siniperca chuatsi,GCF_020085105.1,rnf213,rnf213a,rnf213a,XP_044037270.1,True,True,5227,15684
W033,Siniperca chuatsi,GCF_020085105.1,ttn,ttn.2,ttn.2,XP_044072087.1,True,True,32027,96084
W033,Siniperca chuatsi,GCF_020085105.1,tgfbr2,tgfbr2b,tgfbr2b,XP_044063018.1,True,True,602,1809
W033,Siniperca chuatsi,GCF_020085105.1,nck2,LOC122885121,LOC122885121,XP_044071752.1,True,True,398,1197
W045,Siniperca chuatsi,GCF_020085105.1,AKT2,akt2,akt2,XP_044057177.1,True,True,482,1449
W045,Siniperca chuatsi,GCF_020085105.1,CCNT2,ccnt2a,ccnt2a,XP_044072032.1,True,True,756,2271
W045,Siniperca chuatsi,GCF_020085105.1,EPB41L2,epb41l2,epb41l2,XP_044025741.1,True,True,1120,3363
W045,Siniperca chuatsi,GCF_020085105.1,CAMKMT,camkmt,camkmt,XP_044069326.1,True,True,381,1146
L020,Scatophagus argus,GCF_020382885.2,Hbp1,hbp1,hbp1,XP_046250688.1,True,True,452,1359
L020,Scatophagus argus,GCF_020382885.2,Vgll4,vgll4a,vgll4a,XP_046252431.1,True,True,261,786
L020,Scatophagus argus,GCF_020382885.2,Pim3,pim3,pim3,XP_046235222.1,True,True,330,993
W061,Plecoglossus altivelis,GCF_021917145.1,abat,abat,abat,XP_046906483.1,True,True,500,1503
W061,Plecoglossus altivelis,GCF_021917145.1,maml3,maml3,maml3,XP_046901156.1,True,True,601,1806
W061,Plecoglossus altivelis,GCF_021917145.1,slc25a12,slc25a12,slc25a12,XP_046883864.1,True,True,682,2049
W061,Plecoglossus altivelis,GCF_021917145.1,dnah10,dnah10,dnah10,XP_046872561.1,True,True,1999,6000
L001,Scophthalmus maximus,GCF_022379125.1,fam81b,fam81b,fam81b,XP_035496101.1,True,True,354,1065
L001,Scophthalmus maximus,GCF_022379125.1,atrn,atrn,atrn,XP_035465534.2,True,True,1381,4146
L001,Scophthalmus maximus,GCF_022379125.1,iqgap1,iqgap1,iqgap1,XP_035484966.2,True,True,1653,4962
L001,Scophthalmus maximus,GCF_022379125.1,enah,enah,enah,XP_047184376.1,True,True,812,2439
L001,Scophthalmus maximus,GCF_022379125.1,baz2a,baz2a,baz2a,XP_035500170.2,True,True,2625,7878
L001,Scophthalmus maximus,GCF_022379125.1,amd1,amd1,amd1,XP_035473024.1,True,True,336,1011
W030,Leiocassis longirostris,GCF_022655615.1,ky,ky,ky,XP_026998013.2,True,True,888,2667
W030,Leiocassis longirostris,GCF_022655615.1,matn1,matn1,matn1,XP_047664022.1,True,True,486,1461
W030,Leiocassis longirostris,GCF_022655615.1,sdc3,sdc3,sdc3,XP_047664126.1,True,True,452,1359
W030,Leiocassis longirostris,GCF_022655615.1,kif3a,kif3a,kif3a,XP_027021043.2,True,True,703,2112
W030,Leiocassis longirostris,GCF_022655615.1,rerg,rerg,rerg,XP_027009776.1,True,True,206,621
W030,Leiocassis longirostris,GCF_022655615.1,enox2,enox2,enox2,XP_027020935.1,True,True,687,2064
W034,Tachysurus fulvidraco,GCF_022655615.1,stat5b,stat5b,stat5b,XP_027032657.2,True,True,785,2358
W034,Tachysurus fulvidraco,GCF_022655615.1,kcnh4,kcnh4a,kcnh4a,XP_047657033.1,True,True,1137,3414
W034,Tachysurus fulvidraco,GCF_022655615.1,ptrf,cavin1b,cavin1b,XP_027028580.1,True,True,448,1347
W034,Tachysurus fulvidraco,GCF_022655615.1,rab5c,rab5c,rab5c,XP_027016947.1,True,True,222,669
W034,Tachysurus fulvidraco,GCF_022655615.1,stat3,stat3,stat3,XP_026999486.1,True,True,789,2370
L019,Pelteobagrus vachelli,GCF_022655615.1,HSD11B2,hsd11b2,hsd11b2,XP_047677363.1,True,True,407,1224
L019,Pelteobagrus vachelli,GCF_022655615.1,Sema7a,sema7a,sema7a,XP_027029353.2,True,True,640,1923
W035,Clarias macrocephalus,GCF_024256425.1,egln2,egln2,egln2,XP_053363804.1,True,True,468,1407
W035,Clarias macrocephalus,GCF_024256425.1,zfyve21,zfyve21,zfyve21,XP_053358405.1,True,True,246,741
W035,Clarias macrocephalus,GCF_024256425.1,jph3a,jph3a,jph3a,XP_053368551.1,True,True,890,2673
L005,Clarias fuscus,GCF_024256425.1,mstnb,mstnb,mstnb,XP_053352980.1,True,True,406,1221
L005,Clarias fuscus,GCF_024256425.1,egfr,egfra,egfra,XP_053342305.1,True,True,1200,3603
L005,Clarias fuscus,GCF_024256425.1,serca1,atp2a1,atp2a1,XP_053370581.1,True,True,1005,3018
